Thaise,Afrikaans,หมายเหตุ
ฉันมีพี่ชายสองคนและน้องสาวหนึ่งคน,Ek het twee broers en een suster.,
ฉันอายุสามสิบปี,Ek is dertig jaar oud.,
ฉันทำงานที่โรงพยาบาล(+a),Ek werk by die hospital.,
สวัสดี,Hallo.,
คุณมีพี่น้องไหม,Het jy broers en susters?,
คุณอายุเท่าไหร่,Hoe oud is jy?,
ใช่ ฉันพูดภาษาอังกฤษ,"Ja, ek praat Engels.",
สีโปรดของฉันคือสีฟ้า,My gunsteling kleur is blou.,
คุณพูดภาษาอังกฤษไหม,Praat jy Engels?,
ลาก่อน,Totsiens.,
คุณทำงานที่ไหน,Waar werk jy?,
สีที่คุณชอบคือสีอะไร,Wat is jou gunsteling kleur?,
