Frage,Antwort
(Partizip II) anklicken,angeklickt
(Partizip II) ansehen,angesehen
(Partizip II) antworten,geantwortet
(Partizip II) aussteigen,ausgestiegen
(Partizip II) denken,gedacht
(Partizip II) diskutieren,diskutiert
(Partizip II) einsteigen,eingestiegen
(Partizip II) entschuldigen,entschuldigt
(Partizip II) fragen,gefragt
(Partizip II) gewinnen,gewonnen
(Partizip II) kennenlernen,kennengelernt
(Partizip II) laufen,gelaufen
(Partizip II) schließen,geschlossen
(Partizip II) wiedersehen,wiedergesehen
(Partizip II) anfangen,angefangen
(Partizip II) einschalten,eingeschaltet
(Partizip II) explodieren,explodiert
(Partizip II) fliegen,geflogen
(Partizip II) fressen,gefressen
(Partizip II) liegen,gelegen
(Partizip II) lügen,gelogen
(Partizip II) steigen,gestiegen
(Partizip II) wandern,gewandert
(Partizip II) weinen,geweint
(Partizip II) werden,geworden
(Partizip II) werfen,geworfen
(Partizip II) gehen,gegangen
(Partizip II) haben,gehabt
(Partizip II) schreiben,geschrieben
(Partizip II) ziehen,gezogen
(Partizip II) öffnen,geöffnet
(Partizip II) arbeiten,gearbeitet
(Partizip II) bekommen,bekommen
(Partizip II) bestellen,bestellt
(Partizip II) besuchen,besucht
(Partizip II) bezahlen,bezahlt
(Partizip II) bleiben,geblieben
(Partizip II) bringen,gebracht
(Partizip II) empfehlen,empfohlen
(Partizip II) erzählen,erzählt
(Partizip II) essen,gegessen
(Partizip II) fahren,gefahren
(Partizip II) fallen,gefallen
(Partizip II) feiern,gefeiert
(Partizip II) finden,gefunden
(Partizip II) frühstücken,gefrühstückt
(Partizip II) funkeln,gefunkelt
(Partizip II) funktionieren,funktioniert
(Partizip II) geben,gegeben
(Partizip II) heißen,geheißen
(Partizip II) helfen,geholfen
(Partizip II) kaufen,gekauft
(Partizip II) kennen,gekannt
(Partizip II) kommen,gekommen
(Partizip II) korrigieren,korrigiert
(Partizip II) machen,gemacht
(Partizip II) nehmen,genommen
(Partizip II) passieren,passiert
(Partizip II) reinigen,gereinigt
(Partizip II) reisen,gereist
(Partizip II) riechen,gerochen
(Partizip II) sagen,gesagt
(Partizip II) schenken,geschenkt
(Partizip II) schlafen,geschlafen
(Partizip II) schmecken,geschmeckt
(Partizip II) schneiden,geschnitten
(Partizip II) schwimmen,geschwommen
(Partizip II) sehen,gesehen
(Partizip II) sein,gewesen
(Partizip II) spielen,gespielt
(Partizip II) sprechen,gesprochen
(Partizip II) stecken,gesteckt
(Partizip II) stehen,gestanden
(Partizip II) sterben,gestorben
(Partizip II) studieren,studiert
(Partizip II) treffen,getroffen
(Partizip II) treiben,getrieben
(Partizip II) trinken,getrunken
(Partizip II) tun,getan
(Partizip II) vergessen,vergessen
(Partizip II) verkaufen,verkauft
(Partizip II) verstehen,verstanden
(Partizip II) vorbereiten,vorbereitet
(Partizip II) wachen,gewacht
(Partizip II) wissen,gewusst
