Verb,ich,du,er/sie/es,wir,ihr,Sie,sie (pl.)
fressen,fresse,frisst,frisst,fressen,fresst,fressen,fressen
(Präsens) arbeiten,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten,arbeiten
(Präsens) dürfen,darf,darfst,darf,dürfen,dürft,dürfen,dürfen
(Präsens) empfehlen,empfehle,empfiehlst,empfiehlt,empfehlen,empfehlt,empfehlen,empfehlen
(Präsens) essen,esse,isst,isst,essen,esst,essen,essen
(Präsens) geben,gebe,gibst,gibt,geben,gebt,geben,geben
(Präsens) haben,habe,hast,hat,haben,habt,haben,haben
(Präsens) heißen,heiße,heißt,heißt,heißen,heißt,heißen,heißen
(Präsens) können,kann,kannst,kann,können,könnt,können,können
(Präsens) lernen,lerne,lernst,lernt,lernen,lernt,lernen,lernen
(Präsens) lesen,lese,liest,liest,lesen,lest,lesen,lesen
(Präsens) machen,mache,machst,macht,machen,macht,machen,machen
(Präsens) möchten,möchte,möchtest,möchte,möchten,möchtet,möchten,möchten
(Präsens) mögen,mag,magst,mag,mögen,mögt,mögen,mögen
(Präsens) müssen,muss,musst,muss,müssen,müsst,müssen,müssen
(Präsens) nehmen,nehme,nimmst,nimmt,nehmen,nehmt,nehmen,nehmen
(Präsens) schenken,schenke,schenkst,schenkt,schenken,schenkt,schenken,schenken
(Präsens) sehen,sehe,siehst,sieht,sehen,seht,sehen,sehen
(Präsens) sein,bin,bist,ist,sind,seid,sind,sind
(Präsens) sollen,soll,sollst,soll,sollen,sollt,sollen,sollen
(Präsens) sprechen,spreche,sprichst,spricht,sprechen,sprecht,sprechen,sprechen
(Präsens) tanzen,tanze,tanzt,tanzt,tanzen,tanzt,tanzen,tanzen
(Präsens) trinken,trinke,trinkst,trinkt,trinken,trinkt,trinken,trinken
(Präsens) tun,tue,tust,tut,tun,tut,tun,tun
(Präsens) wandern,wandere,wanderst,wandert,wandern,wandert,wandern,wandern
(Präsens) werden,werde,wirst,wird,werden,werdet,werden,werden
(Präsens) werfen,werfe,wirfst,wirft,werfen,werft,werfen,werfen
(Präsens) wollen,will,willst,will,wollen,wollt,wollen,wollen
(Präteritum) bleiben,blieb,bliebst,blieb,blieben,bliebt,blieben,blieben
(Präteritum) finden,fand,fandst,fand,fanden,fandet,fanden,fanden
(Präteritum) gehen,ging,gingst,ging,gingen,gingt,gingen,gingen
(Präteritum) haben,hatte,hattest,hatte,hatten,hattet,hatten,hatten
(Präteritum) können,konnte,konntest,konnte,konnten,konntet,konnten,konnten
(Präteritum) lesen,las,lasest / last,las,lasen,last,lasen,lasen
(Präteritum) müssen,musste,musstest,musste,mussten,musstet,mussten,mussten
(Präteritum) sein,war,warst,war,waren,wart,waren,waren
(Präteritum) werden,wurde,wurdest,wurde,wurden,wurdet,wurden,wurden
(Präteritum) wollen,wollte,wolltest,wollte,wollten,wolltet,wollten,wollten
