Deutsch,Wortart,Thailändisch,Add Reverse
ab,Präp.,ตั้งแต่ จาก (บุพบท) (a),y
abbiegen,V.,เลี้ยว โค้ง,y
abends,Adv.,ตอนเย็น ค่ำ,y
aber,Konj.,แต่ (a),y
abfahren,V.,ออกเดินทาง,y
abholen,V.,ไปรับ,y
abwaschen,V.,ล้างออก,y
ähnlich,Adj.,ใกล้เคียง คล้ายกัน,y
all,Pron.,ทุกคน,y
allein,Adj.,คนเดียว,y
Alles Gute,Int.,ขอแสดงความยินดี,y
als,Konj.,กว่า ในขณะที่,y
alt,Adj.,เก่า แก่,y
anbieten,V.,เสนอ,y
ander,Adj.,อื่น,y
ändern,V.,เปลี่ยน,y
an [ets] teilnehmen,V.,เข้าร่วม ~,y
anfangen,V.,เริ่ม (a),y
angeln,V.,ตกปลา,y
anhaben,V.,"สวมใส่ (!t, !az)",y
anklicken,V.,คลิก,y
ankommen,V.,มาถึง,y
anmachen,[Trennbare] V.,เปิด (สวิตช์),y
annehmen,V.,ตอบรับ ตอบตกลง (!sein),y
anrufen,V.,โทรหา,y
ansehen,V.,ดู มอง,
an sein,V.,เปิดอยู่ (สวิตช์),y
anstarren,V.,จ้องมอง (~s~),y
anziehen,V.,สวมใส่ (!h),y
ärgerlich,Adj.,หงุดหงิด อารมณ์เสีย โกรธ,y
arm,Adj.,จน,y
auf,präp.,บน,y
aufgeben,V.,ยอมแพ้,y
aufhören,V.,หยุด (a),y
aufmachen,[Trennbare] V.,เปิด (ไม่ใช่ไฟฟ้า),y
aufpassen,V.,ระวัง ดูดี ๆ ตั้งใจดู,y
aufräumen,V.,จัด ทำความสะอาด,y
aufschreiben,V.,จด,y
auf sein,V.,เปิดอยู่ (ไม่ใช้ไฟฟ้า),y
aufstehen,V.,ตื่นนอน (ลุกจากที่นอน),y
aufwachen,V.,ตื่น (รู้สึกตัว) (a),y
aufwarten,V.,รอคอย (บางอย่าง),y
ausgeben,V.,ใช้จ่าย,y
ausgezeichnet,Adj.,ยอดเยี่ยม (a),y
ausleeren,V.,ทำให้ว่างเปล่า เอาออก ขจัด,y
ausmachen,[Trennbare] V.,ปิด (สวิตช์),y
auspacken,V.,แกะของ เปิดกระเป๋า,y
ausschalten,V.,ปิดสวิตช์ (as),y
aussehen,V.,ดูเหมือนกับว่า ดูสีท่า,y
aus sein,V.,ปิดอยู่ (สวิตช์),y
außen,Adv.,ข้างนอก ภายนอก (a),y
aussteigen,V.,ลง (จากยานพาหนะ),y
ausstellen,V.,ปิดสวิตช์ ดับเครื่อง,y
ausziehen,V.,ดึง เอาออก ย้ายออก ถอดออก,y
backen,V.,อบ,y
baden,V.,แช่น้ำ เล่นน้ำ ว่ายน้ำ,y
bald,Adv.,เร็ว ๆ นี้ (ที่จะถึงนี้) (!k),y
bauen,V.,ก่อสร้าง (อาคาร),y
bedeuten,V.,มีความหมาย,y
begrüßen,V.,ทักทาย,y
beide,pron.,ทั้งคู่,y
bekannt,Adj.,มีชื่อเสียง,y
bekommen,V.,รับ เอา,y
belegt,Adj.,ไม่ว่าง (ถูกใช้งานอยู่; es: ocupado; ja: 使用中),y
benutzen,V.,ใช้,y
bequem,Adj.,สบาย,y
beraten,V.,ให้คำแนะนำ ให้คำปรึกษา,y
bereit,Adj.,พร้อม,y
beruflich,Adj.,อาชีพ (คำคุณศัพท์),y
beschreiben,V.,บรรยาย อธิบายลักษณะ (en: describe),y
besetzt,Adj.,ไม่ว่าง ยุ่ง,y
besichtigen,V.,ท่องเที่ยว เยี่ยมชม ดู,y
besorgt,Adj.,เป็นกังวล,y
bestellen,V.,สั่ง,y
besuchen,V.,(กริยา)เยี่ยม,y
bevor,Konj.,ก่อน,y
bezahlen,V.,จ่าย (be),y
bilden,V.,สร้าง,y
billig,Adj.,(ราคา)ถูก [ราคาต่ำ],y
bis,Präp.,จนถึง จนกระทั่ง (迄),y
bitter,Adj.,ขม,y
bleiben,V.,อยู่,y
Bock haben,V.,มีอารมณ์ รู้สึกอยาก(ทำ),y
braten,V.,ผัด ย่าง,y
brauchen,V.,ต้องการ,y
braun,Adj.,สีน้ำตาล,y
breit,Adj.,กว้าง,y
bringen,V.,เอาไป,y
buchstabieren,V.,สะกด,y
bügeln,V.,รีดผ้า,y
da,,ตอนนั้น,y
dabeihaben,V.,มีอยู่กับตัว,y
dafür sein,V.,เห็นด้วย (!e),y
dagegen sein,V.,ไม่เห็นด้วย,y
damals,Adv.,(ย้อนไป)ครั้งนั้น,y
danach,Adv.,หลังจากนั้น (dn),y
danken,V.,ขอบคุณ,y
dann,Adv.,หลังจากนั้น (d),y
dauern,V.,ใช้เวลา,y
denken,V.,คิด เชื่อ (d),y
deshalb,Adv.,ดังนั้น เพราะฉะนั้น,y
deutlich,Adj.,ชัดเจน เห็นได้ชัด เข้าใจได้,y
dick,Adj.,อ้วน หนา,y
die Klingel aufdrücken,,กดออด,y
dies,Adj.,นี้,y
dolmetschen,V.,ล่าม,y
dort,,ที่นั่น,y
draußen,Adj.,ข้างนอก (d),y
dreckig,Adj.,สกปรก (!s),y
drehen,V.,หัน หมุน,y
dritt,Adj.,ที่สาม,y
dumm,Adj.,โง่,y
dunkel,Adj.,มืด,y
durch,Präp.,ผ่านทาง,y
durchqueren,V.,เดินตัด,y
dürfen,V.,อนุญาต,y
duschen,V.,อาบน้ำ (ฝักบัว),y
egal,Adj.,ไม่สำคัญ เท่า ๆ กัน พอ ๆ กัน,y
eigentlich,Adv.,ว่าแต่ จริง ๆ แล้ว (!ü),y
ein bisschen,,นิดหน่อย,y
einfach,Adj.,ง่าย,y
einige,pron.,บ้าง 2 - 3,y
einkaufen,V.,ซื้อของ,y
einmal,Adv.,ครั้งหนึ่ง คราวหนึ่ง,y
einschalten,V.,เปิด (สวิตช์) <b><i><u>(ไม่ใช่ machen)</u></i></b>,y
einschlafen,V.,หลับ (ผลอยหลับ),y
einverstanden sein,V.,เห็นด้วย (!d),y
einziehen,V.,ย้ายเข้ามาอยู่,y
eiskalt,Adj.,หนาวมาก หนาวจนแข็ง,y
empfehlen,V.,แนะนำ,y
endlich,Adv.,ท้ายที่สุด ในที่สุด,y
entlang,Präp.,ตามแนว ขนานไป,y
entlangfahren,V.,ไปตามแนว,y
entschuldigen,V.,ยกโทษ ให้อภัย,y
ergänzen,V.,เติม ทำให้สมบูรณ์,y
erinnern,V.,จำ ทำให้ระลึก,y
erkältet,Adj.,หวัด,y
erklären,V.,อธิบาย,y
erst,Adj.,ที่หนึ่ง แรก,y
erwarten,V.,ตั้งหน้าตั้งตาคอย,y
erzählen,V.,เล่า,y
es gibt,,มี (ไม่ระบุประธาน),y
etwas,,บางอย่าง,y
explodieren,V.,ระเบิด,y
fahren,V.,ไป (f),y
falsch,Adj.,ผิด ที่ไม่ถูกต้อง,y
fantastisch,Adj.,ยอดเยี่ยม (fantastic),y
fast,Adv.,เกือบ (f),y
faul,Adj.,ขี้เกียจ,y
faulenzen,V.,นั่ง ๆ นอน ๆ ไม่ทำอะไร,y
fegen,V.,กวาด,y
feiern,V.,เฉลิมฉลอง จัดงานเลี้ยง,y
fern,Adj.,ไกล (f),y
fernbleiben,V.,อยู่ห่างออกไป <i><b><u>(กริยา)</u></b></i>,y
