verb,je,tu,il/elle/on,nous,vous,ills/elles
[présent] acheter,j'achète,achètes,achète,achetons,achetez,achètent
[présent] adorer,j'adore,adores,adore,adorons,adorez,adorent
[présent] agir,agis,agis,agit,agissons,agissez,agissent
[présent] aider,j'aide,aides,aide,aidons,aidez,aident
[présent] aimer,j'aime,aimes,aime,aimons,aimez,aiment
[présent] aller,vais,vas,va,allons,allez,vont
[présent] appeler,j'appelle,appelles,appelle,appelons,appelez,appellent
[présent] apporter,j'apporte,apportes,apporte,apportons,apportez,apportent
[présent] apprendre,j'apprends,apprends,apprend,apprenons,apprenez,apprennent
[présent] attendre,j'attends,attends,attend,attendons,attendez,attendent
[présent] avoir,j'ai,as,a,avons,avez,ont
[présent] boire,bois,bois,boit,buvons,buvez,boivent
[présent] chercher,cherche,cherches,cherche,cherchons,cherchez,cherchent
[présent] commander,commande,commandes,commande,commandons,commandez,commandent
[présent] commencer,commence,commences,commence,commençons,commencez,commencent
[présent] comprendre,comprends,comprends,comprend,comprenons,comprenez,comprennent
[présent] connaître,connais,connais,connaît,connaissons,connaissez,connaissent
[présent] contenir,contiens,contiens,contient,contenons,contenez,contiennent
[présent] croire,crois,crois,croit,croyons,croyez,croient
[présent] cuisiner,cuisine,cuisines,cuisine,cuisinons,cuisinez,cuisinent
[présent] devoir,dois,dois,doit,devons,devez,doivent
[présent] dire,dis,dis,dit,disons,dites,disent
[présent] faire,fais,fais,fait,faisons,faites,font
[présent] lire,lis,lis,lit,lisons,lisez,lisent
[présent] manger,mange,manges,mange,mangeons,mangez,mangent
[présent] mettre,mets,mets,met,mettons,mettez,mettent
[présent] mourir,meurs,meurs,meurt,mourons,mourez,meurent
[présent] neiger,,,neige,,,
[présent] ouvrir,ouvre,ouvres,ouvre,ouvrons,ouvrez,ouvrent
[présent] parler,parle,parles,parle,parlons,parlez,parlent
[présent] pleuvoir,,,pleut,,,pleuvent
[présent] posséder,possède,possèdes,possède,possédons,possédez,possèdent
[présent] pouvoir,peux,peux,peut,pouvons,pouvez,peuvent
[présent] savoir,sais,sais,sait,savons,savez,savent
[présent] suivre,suis,suis,suit,suivons,suivez,suivent
[présent] vivre,vis,vis,vit,vivons,vivez,vivent
[présent] voir,vois,vois,voit,voyons,voyez,voient
[présent] vouloir,veux,veux,veut,voulons,voulez,veulent
[présent] écrire,j'écris,écris,écrit,écrivons,écrivez,écrivent
[présent] être,suis,es,est,sommes,êtes,sont
falloir,,,faut,,,
