thaïlandais,français,หมายเหตุ
เขามาจากแคนาดา,Il est du Canada.,
เขารวย,Il est riche.,
พวกเขากินเนื้อสีแดง,Ils mangent de la viande rouge.,- ไม่เจาะจง
พวกเขากินข้าว,Ils mangent du riz.,- ไม่เจาะจง
ฉันชอบชุดเดรส(พหู)สีแดง,J'aime les robes rouges.,
ฉันดื่มน้ำ,Je bois de l'eau.,ไม่เจาะจง
ฉันดื่มชาและกินขนมปัง,Je bois du thé et je mange du pain.,
ฉันกินส้มหนึ่งลูก,Je mange une orange.,
ฉันขอโทษ,Je suis désolé.,
ผู้ชาย(คนนั้น)รวย,L'homme est riche.,
ส้มอร่อย,L'orange est bonne.,
แอปเปิลมีสีแดง,La pomme est rouge.,
ชุดเดรสมีสีแดง,La robe est rouge.,
เด็ก ๆ ดื่มน้ำ,Les garçons boivent de l'eau.,
ชุดเดรส(พหู)และแอปเปิล(เอก)มีสีแดง,Les robes et la pomme sont rouges.,
ขอบคุณและราตรีสวัสดิ์,Merci et bonne nuit.,
หนังสือของฉัน(พหู)มีสีแดง,Mes livres sont rouges.,
พวกเราเป็นผู้หญิง,Nous sommes des femmes.,
ได้โปรด (→ tu),S'il te plaît.,
ได้โปรด (→ vous),S'il vous plaît.,
เธอเป็นเด็กผู้หญิง,Tu es une fille.,
เจอกันไว ๆ นี้,À bientôt!,!
แล้วเจอกันใหม่ (ทีหลัง),À plus tard!,!
