français,thaïlandais,Add Reverse
(f.) l'eau,น้ำ,y
(f.) l'orange,ส้ม (ผลไม้),y
(m.) l'alcool,แอลกอฮอล์ เหล้า,y
(m.) l'homme,ผู้ชาย,y
(m.) l'oignon,หัวหอม,y
(m.) l'oiseau,นก,y
(m.) l'ours,หมี,y
(m.) l'éléphant,ช้าง,y
(m.) l'œuf,ไข่,y
aimer,รัก ชอบ,y
avoir,มี,y
beaucoup,มาก,y
bientôt,ไว ๆ นี้,y
boire,ดื่ม,y
calme,ที่เงียบ สงบ,y
cuisiner,ทำอาหาร,y
demain,วันพรุ่งนี้,y
désolé,ขอโทษ ที่รู้สึกผิด,y
jeune,ที่อายุน้อย เด็ก,y
joli,สวยงาม หล่อ งดงาม,y
l'enfant,เด็ก,y
la baguette,ขนมปังบาเกต์,y
la bière,เบียร์,y
la boisson,เครื่องดื่ม,y
la chatte,แมวตัวเมีย,y
la chienne,สุนัขตัวเมีย,y
la crêpe,เครป,y
la femme,ผู้หญิง,y
la fille,เด็กผู้หญิง,y
la lettre,จดหมาย,y
la mouche,แมลงวัน,y
la nourriture,อาหาร,y
la pomme,แอปเปิล,y
la robe,ชุดเดรส,y
la salade,สลัด,y
la soupe,ซุป,y
la tomate,มะเขือเทศ,y
la tortue,เต่า,y
la vache,วัว,y
la viande,เนื้อ,y
le bateau,เรือ,y
le beurre,เนย,y
le canard,เป็ด,y
le chat,แมว,y
le cheval,ม้า,y
le chien,สุนัข,y
le cochon,หมู,y
le garçon,เด็กผู้ชาย,y
le journal,หนังสือพิมพ์,y
le lait,นม,y
le lion,สิงโต,y
le livre,หนังสือ,y
le menu,เมนู,y
le mot,คำ คำพูด คำศัพท์,y
le pain,ขนมปัง,y
le poivre,พริกไทย,y
le repas,มื้ออาหาร,y
le riz,ข้าว,y
le sandwich,แซนด์วิช,y
le sel,เกลือ,y
le singe,ลิง,y
le thé,ชา,y
le train,รถไฟ,y
le vin,ไวน์,y
les pâtes,พาสต้า,y
lire,อ่าน,y
manger,กิน,y
noir,สีดำ,y
ou,หรือ,y
parfait,สมบูรณ์แบบ ยอดเยี่ยม,y
pourquoi,ทำไม,y
riche,รวย,y
rien,ไม่สักอย่าง,y
rouge,สีแดง,y
souvent,บ่อย ๆ,y
tard,สาย,y
vert,สีเขียว,y
ça,สิ่งนั้น,y
écrire,เขียน,y
être,เป็น อยู่ คือ,y
