ไทย,Bahasa Indonesia,หมายเหตุ
สบายดีไหม,Apa kabar?,
คุณอายุเท่าไหร่,Berapa umur kamu?,
เขามาจากจาการ์ตา ไม่ใช่จากบาหลี,"Dia dari Jakarta, bukan dari Bali.",
เขาแข็งแรง,Dia kuat.,
สวัสดี ชื่อฉันคือ Andi,"Halo, nama saya Andi.",
เธอมาจากญี่ปุ่น,Kamu dari Jepang.,
เธอมาจากที่ไหน,Kamu dari mana?,
เธอดื่มน้ำ ฉันกินแอปเปิล,"Kamu minum air, saya makan apel.",
เธอดื่มสิ่งนั้น,Kamu minum itu.,
เธอมีแอปเปิล,Kamu punya apel.,
แมวตัวนั้นสีดำและแดง,Kucing itu hitam dan merah.,
ชื่อของฉันไม่ใช่ Andi,Nama saya bukan Andi.,
ฉันไม่ใช่ Tini,Saya bukan Tini.,
ฉันไม่ได้มาจากจาการ์ตา,Saya bukan dari Jakarta.,
ฉันมาจากจาการ์ตา,Saya dari Jakarta.,
ฉันกินส้ม,Saya makan jeruk.,
ฉันอยากได้แอปเปิล,Saya mau apel.,
ฉันดื่มนม และเธอดื่มน้ำ,"Saya minum susu, dan kamu minum air.",
ฉันชอบแอปเปิล,Saya suka apel.,
ฉันชอบแมว,Saya suka kucing.,
นี่คือใคร,Siapa itu?,
คุณเป็นใคร,Siapa kamu?,
ชื่อคุณคืออะไร,Siapa nama kamu?,- อะไรคือชื่อของคุณ
ฉันอายุยี่สิบปี,Umur saya dua puluh tahun.,
