Bahasa Indonesia,ไทย,Add Reverse
Jepang,ประเทศญี่ปุ่น,y
air,น้ำ,y
aku,ฉัน (!s),y
apel,แอปเปิล,y
berapa,เท่าไหร่ อย่างไร,y
bukan,ไม่ใช่,y
buku,หนังสือ,y
dan,และ,y
dari,จาก,y
delapan,แปด,y
dia,เขา,y
dua,สอง,y
dua belas,สิบสอง,y
dua puluh,ยี่สิบ,y
empat,สี่,y
enam,หก,y
hitam,สีดำ,y
itu,~นั้น,y
jeruk,ส้ม,y
kamu,เธอ,y
kita,พวกเรา,y
kuat,แข็งแรง,y
kucing,แมว,y
lima,ห้า,y
makan,กิน,y
mana,ที่ไหน,y
mau,ต้องการ,y
menulis,เขียน,y
merah,สีแดง,y
minum,ดื่ม,y
nama,ชื่อ,y
punya,มี,y
putih,สีขาว,y
satu,หนึ่ง,y
saya,ฉัน (!a),y
sebelas,สิบเอ็ด,y
sembilan,เก้า,y
sepuluh,สิบ,y
siapa,ใคร,y
suka,ชอบ,y
surat,จดหมาย,y
susu,นม,y
tahun,ปี,y
tiga,สาม,y
tujuh,เจ็ด,y
umur,อายุ,y
