日本語,日本語の読み方,タイ語,Add Reverse
アクセル,,คันเร่ง,y
アライグマ,,แรคคูน,y
いたち,,เพียงพอน,y
インターホン,,โทรศัพท์ประตูบ้าน,y
ウィンカー,,ไฟเลี้ยว,y
うずら,,นกกระทา,y
うなじ,,หลังคอ ง่อน,y
エンドロール,,ฉากเครดิต,y
オジギソウ,,ต้นไมยราบ,y
おしむ,,เสียดาย อาลัยอาวรณ์,y
お殿様,おとのさま,ขุนนาง ผู้ปกครองแคว้น,y
お節介を焼く,おせっかいをやく,จุ้นจ้านเรื่องของคนอื่น,y
お辞儀,おじぎ,การก้มแสดงความเคารพ,y
お墨付き,おすみつき,ลายเซ็น การรับรอง เอกสารที่รับรองความถูกต้องแล้ว,y
カモメ,,นกนางนวล,y
カワウソ,,นาก,y
クラクション,,แตรรถ,y
クラゲ,,แมงกะพรุน,y
グリッター,,กากเพชร,y
こもる,,ปิดอยู่ กักอยู่ เก็บตัว,y
コンドル,,นกแร้ง,y
コンプレックス,,ปมด้อย,y
ご高説を賜る,ごこうせつをたまわる,ได้รับคำชม ยกย่อง,y
サイドミラー,,กระจกมองข้าง,y
ざくろ,,ทับทิม,y
サムネイル,,ภาพย่อ ภาพตัวอย่าง,y
しゃがむ,,ย่อ คุกเข่า,y
ジレンマ,,การกลืนไม่เข้าคายไม่ออก ภาวะที่ยากจะตัดสินใจได้,y
ずきずき,,อย่างเจ็บปวด,
スケバン,,หัวหน้าแก๊งที่เป็นผู้หญิง นักเลงผู้หญิง,y
スコップ,,จอบ เสียม,y
すなわち,,กล่าวคือ,y
スペクトル,,สเปกตรัม,y
せいぜい,,อย่างมากก็,y
せびる,,ขอ (เงิน),y
ダイジェスト,,การสรุปย่อ,
たてがみ,,ขนหลังม้า,y
つぎ込む,,ใช้(เงิน คน)ไปเป็นจำนวนมาก,y
つまづく,,สะดุด,y
デフレ,,เงินฝืด,y
ドアアイ,,ตาแมว (คาตาคานะ),y
トイレブラシ,,แปรงขัดส้วม,y
ドライバー,,ไขควง (คาตาคานะ),y
トランジスタ,,ทรานซิสเตอร์,y
トランプ,,ไพ่,y
（トランプの）クラブ,,(ไพ่) ดอกจิก,y
（トランプの）スペード,,(ไพ่) โพธิ์ดำ,y
（トランプの）ダイヤモンド,,(ไพ่) ข้าวหลามตัด,y
（トランプの）ハート,,(ไพ่) โพธิ์แดง,y
なにぶん,,อย่างไรก็ตาม,
ニラ,,กุยช่าย,y
ねじ回し,ねじまわし,ไขควง (ฮิรากานะ),y
のどちんこ,,ลิ้นไก่ (和),y
バックミラー,,กระจกมองหลัง,y
バッタ,,ตั๊กแตน,y
パラボラアンテナ,,จานดาวเทียม,y
ハンドル,,พวงมาลัย,y
ファスナー,,ซิป,
ふくらはぎ,,น่อง,y
ふけ,,รังแค,y
ブレッドボード,,โพรโทบอร์ด,y
フロントガラス,,กระจกหน้ารถ,y
ベルノキ,,มะตูม,y
ペンチ,,คีม คีมหนีบ,y
ホイッスル,,นกหวีด,y
ほうき,,ไม้กวาด,y
ポケベル,,เพจเจอร์ (カタカナ),y
まき散らす,まきちらす,โปรย หว่าน พรม,y
むせる,,สำลัก,y
めざましい,,โดดเด่น น่าทึ่ง,
