単語,読み方
お殿様,おとのさま
お辞儀,おじぎ
ご利益,ごりやく
一塊,いっかい
一見さん,いちげんさん
一見する,いっけんする
一語,いちご
万事,ばんじ
丈,たけ
三箇条,さんかじょう
下請け,したうけ
不忍池,しのばずのいけ
不朽,ふきゅう
不祥事,ふしょうじ
不随,ふずい
中肉中背,ちゅうにくちゅうぜい
主催者,しゅさいしゃ
主従,しゅじゅう
乖離,かいり
乙女座,おとめざ
亀甲,きっこう
事勿れ,ことなかれ
事柄,ことがら
互恵,ごけい
五穀豊穣,ごこくほうじょう
些細,ささい
亜鉛,あえん
交互,こうご
享受,きょうじゅ
人狼,じんろう
人相学,にんそうがく
仁義,じんぎ
他人事,ひとごと
仰ぐ,あおぐ
伏せる,ふせる
低俗,ていぞく
低迷,ていめい
住民,じゅうみん
体裁,ていさい
余韻,よいん
併合,へいごう
侮辱,ぶじょく
便秘,べんぴ
促,そく
促す,うながす
促進,そくしん
信楽焼き,しがらきやき
修める,おさめる
俯瞰,ふかん
俵,たわら
値,あたい
倦怠感,けんたいかん
偏見,へんけん
健闘,けんとう
偵察,ていさつ
傍受,ぼうじゅ
傑作,けっさく
傘寿,さんじゅ
備える,そなえる
傲慢,ごうまん
債権,さいけん
傾向,けいこう
僅か,わずか
僧,そう
儚い,はかない
優れる,すぐれる
兆し,きざし
兆候,ちょうこう
克服,こくふく
兌換紙幣,だかんしへい
免れる,まぬかれる
全盛,ぜんせい
八代亜紀,やしろあき
公,おおやけ
典型,てんけい
内訳,うちわけ
冒頭,ぼうとう
冤罪,えんざい
冴える,さえる
凌ぐ,しのぐ
凝る,こる
凝視,ぎょうし
凧,たこ
出る杭は打たれる,出(で)る杭(くい)は打(う)たれる
出資,しゅっし
分割,ぶんかつ
分裂,ぶんれつ
利益,りえき
制御,せいぎょ
制裁,せいさい
刺股,さすまた
削減,さくげん
剣山,けんざん
剥奪,はくだつ
割愛,かつあい
創意,そうい
創設,そうせつ
劣等感,れっとうかん
助演,じょえん
助言,じょげん
努める,つとめる
勤勉,きんべん
勿論,もちろん
包囲,ほうい
包括,ほうかつ
包装,ほうそう
匿名,とくめい
十匹,じっぴき
卑劣,ひれつ
卑猥,ひわい
南京錠,なんきんじょう
博打,ばくち
占める,しめる
即座,そくざ
原稿,げんこう
厨房,ちゅうぼう
及ぼす,およぼす
双子座,ふたござ
収める,おさめる
取捨,しゅしゃ
叙々苑,じょじょえん
口蓋,こうがい
口蓋垂,こうがいすい
口車,くちぐるま
句読点,くとうてん
后,きさき
吟じる,ぎんじる
