태국어,한국어,หมายเหตุ
12 กันยายน,구월 십이일입니다.,니다
21 เมษายน,사월 이십일일입니다.,니다
25 ธันวาคม,십이월 이십오일입니다.,니다
30 พฤศจิกายน,십일월 삼십일입니다.,니다
6 พฤษภาคม,오월 육일입니다.,니다
กระเป๋านี้<b><u><i>หนึ่งใบ</i></u></b>ละเท่าไหร่,이 가방은 한 개에 얼마입니까?,니까
กล้วยเป็นผลไม้หรือไม่,바나나가 과일이에요?,요
กินข้าวที่ไหน,어디에서 밥을 먹습니까?,니까
กุญแจไม่ได้อยู่บนโต๊ะเขียนหนังสือ,열쇠가 책상 위에 없습니다.,니다
ขอกาแฟกับชาเขียว,커피하고 녹차 주세요.,- กับ(๒)<br>- 요
ขอเก้าอี้สามตัว,의자 세 개 주세요.,요
ขอโค้กสองขวด,콜라 두 병 주세요.,요
ขอโทษครับ,죄송합니다.,니다
ขอโทษครับ (สุภาพกว่า),미안합니다.,니다
ขอบคุณครับ,고맙습니다.,니다
ขอบคุณครับ (สุภาพกว่า),감사합니다.,니다
ขอบคุณนะ,고마워요.,요
ขอยางลบหน่อย / อ๊ะนี่,지우개 좀 주세요. / 여기 있어요.,요
ขอรบกวน(เสียมารยาท)ด้วยนะครับ,실례합니다.,
ขอหนังสือสี่เล่ม,책 네 권 주세요.,요
เขาเป็นคนดี,그는 좋은 사람이에요.,요
เขาเป็นผู้ชาย,그는 남자예요.,요
เขียนจดหมายให้เพื่อน,친구에게 편지를 씁니다.,니다
คณิตศาสตร์ง่ายไหม,수학이 쉽습니까?,니까
คณิตศาสตร์สนุก,수학이 재미있습니다.,니다
คนนั้นดื่มเหล่าเก่งใช่ไหม,그 사람은 술을 잘 마시지요?,지요
คนนั้นเป็นตำรวจ,그 사람은 경찰관입니다.,니다
คนนั้นเป็นนักร้องใช่ไหม,그 사람은 가수입니까?,니까
คนนั้นไม่ใช่คุณหมอ,그 사람은 의사가 아닙니다.,니다
คนโน้นใครหรอ,저 사람은 누구입니까?,니까
คนโน้นเป็นเพื่อนใช่ไหม,저 사람은 친구지요?,지요
คุณครูสอนอะไรอยู่ที่ไหน,선생님은 어디에서 무엇을 가르칩니까?,니까
คุณมิลาซื้ออะไร,미라 씨는 무엇을 삽니까?,니까
คุณแม่อยู่ไหน,엄마는 어디에 있어요?,요
คุณไมเคิลกินขนมปัง,마이클 씨는 빵을 먹습니다.,- 니다<br>- ไมเคิล - 마이클
คุณวาณีอ่านนิตยสาร,와니 씨는 잡지를 읽습니다.,니다
คุณ 광해 พบเพื่อน,광해 씨는 친구를 만납니다.,니다
โค้กอยู่ในตู้เย็น,콜라가 냉장고 안에 있어요.,요
เจอคุณแม่,어머니를 만납니다.,니다
เจอใคร,누구를 만납니까?,니까
ฉันก็ทานกิมจิ,저도 김치를 먹어요.,요
ฉันกับมาเรียเป็นเพื่อนที่ดี,저랑 마리아는 좋은 친구예요.,요
ฉันกินข้าว,저는 밥을 먹습니다.,니다
ฉันกินอาหารกลางวันที่โรงอาหาร,저는 식당에서 점심을 먹습니다.,니다
ฉันชอบออกกำลังกาย,저는 운동을 좋아합니다.,니다
ฉันชื่อวันนา,제 이름은 완나입니다.,니다
ฉันดื่มกาแฟ,저는 커피를 마십니다.,니다
ฉันดูโทรทัศน์,저는 텔레비전을 봅니다.,니다
ฉันดูภาพยนตร์,저는 영화를 봅니다.,니다
ฉันดูละคร,저는 연극을 봅니다.,니다
ฉันฟังดนตรี,저는 음악을 듣습니다.,니다
ฉันมีเพื่อนเยอะ,저는 친구들이 많아요.,요
ฉันไม่ใช่คนจีน,저는 중국 사람이 아닙니다.,니다
ฉันไม่เป็นไร,저는 괜찮아요.,요
ฉัน(ㄴ)กินข้าวที่ร้านอาหาร,나는 식당에서 밥을 먹습니다.,니다
ฉัน(ㄴ)ซื้อเสื้อผ้าที่ห้างสรรพสินค้า,나는 백화점에서 옷을 삽니다.,니다
ฉัน(ㄴ)ร้องเพลงที่ร้านคาราโอเกะ,나는 노래방에서 노래를 부릅니다.,니다
ฉัน(ㄴ)สอนภาษาเกาหลีที่โรงเรียน,나는 학교에서 한국어를 가르칩니다.,니다
ช่วงนี้ทำอะไรหรอ,요즘 무엇을 합니까?,니까
ชอบวิชาวิทยาศาสตร์,과학을 좋아합니다.,니다
ชื่อของเธอ(๓)คือมาเรีย,그녀의 이름은 마리아예요.,요
ชื่ออะไร,이름이 무엇입니까?,니까
ใช่ เป็นตำรวจ,"네, 경찰관입니다.",니다
ซื้อที่ห้างไหน,어느 백화점에서 삽니까?,니까
ซื้อ<b><i><u>เหล้า</u></i></b>สองขวด,술을 두 병 삽니다.,니다
ซื้ออะไร,무엇을 삽니까?,니까
ด้านขวามือของร้านสะดวกซื้อมีธนาคารอยู่,편의점 오른쪽에 은행이 있어요.,요
ด้านหน้าห้างสรรพสินค้ามีรถแท็กซี่สองคัน,백화점 앞에 택시가 두 대 있습니다.,니다
ดื่มนมในร้านขายของชำ,가게에서 우유를 마십니다.,니다
ดูหนังเมื่อไหร่,언제 영화를 봅니까?,니까
ตอนนี้ฉันกำลังเรียนภาษาเกาหลี,저는 지금 한국말을 배웁니다.,- 니다<br>- เรียน ㅂ / ภาษา ㅁ
ตอนนี้ดูหนังอยู่ที่โรงหนังหรอ,지금 영화관에서 영화를 봅니까?,니까
