Thailändisch,Deutsch,หมายเหตุ
ตั้งแต่พรุ่งนี้ฉันจะไม่สูบบุหรี่อีก,Ab morgen rauche ich nicht mehr.,
ตอนเย็นผมดูทีวี,Abends sehe ich fern.,
Alex ไปนอนตอน 21:00น. เขาหลับลงไปในทันที,"Alex geht um einundzwanzig Uhr ins Bett, er schläft sofort ein.",präsen / offiziel
เครื่องมือช่างทั้งหมดนี้เป็นของฉัน,All diese Werkzeuge gehören mir.,"- กริยา ""เป็นของ"""
ทุกคนหัวเราะ และฉันก็(หัวเราะตาม)ในที่สุด,"Alle lachen, und ich am Ende auch.",
ทุกคนชอบ(m)สถานที่แห่งนี้,Alle mögen diesen Ort.,
โอเคล่ะ (en: All right!),Alles klar!,
ตอนเย็นฉันอ่านหนังสือบนเตียง และเข้านอนตอนสี่ทุ่มครึ่ง,"Am Abend habe ich im Bett gelesen, und um halb elf bin ich ins Bett gegangen.",- perfekt
ที่สถานีรถไฟฉันเจอกับ Luca,Am Bahnhof habe ich Luca getroffen.,- perfekt
เมื่อวันศุกร์ฉันอยู่บ้าน　ลูก ๆ ทั้งคู่ของฉันไม่สบาย　พวกเขามีไข้,Am Freitag war ich zu Hause. Meine beiden Kinder waren krank. Sie hatten Fieber.,- Präteritum
วันจันทร์เขา(ญ)ไป(g)ว่ายน้ำ,Am Montag geht sie schwimmen.,sie
ตอนเช้าฉันกินข้าวเช้ากับครอบครัวของฉันที่บ้าน　แล้วเราก็ไป(f)หาคุณลุง,Am Morgen habe ich mit meiner Familie zu Hause gefrühstückt. Dann sind wir zum Onkel gefahren.,"- perfekt<br>- กริยา ""ทานอาหารเช้า"""
ตอนบ่ายเราได้ไปเดินเล่นในสวน　หลังจากนั้นถึงห้าโมงเราซื้อของที่ซุปเปอร์,Am Nachmittag sind wir im Park spazieren gegangen. Danach haben wir bis fünf Uhr im Supermarkt eingekauft.,- perfekt<br>- สวน: P
วันเสาร์แดดออก แต่ฝนตกวันอาทิตย์,"Am Samstag scheint die Sonne, aber es regnet am Sonntag.",
ในวันเสาร์ Prinzenbad ที่อยู่ใน Kreuzberg จะปิดทำการและเปิดใหม่อีกครั้งในปีหน้าเดือนพฤษภาคม,Am Samstag schließt das Prinzenbad in Kreuzberg und öffnet wieder nächtest Jahr im Mai.,
<u>เช้า</u>อาทิตย์ฉันนอนยาว,Am Sonntagmorgen schlafe ich lange.,- mit Präposition
ในวันหยุดเสาร์อาทิตย์ฉันเป่าขลุ่ย,Am Wochenende spiele ich Flöte.,
วันอาทิตย์นี้พวกเขาไปโรงภาพยนตร์แทนเพราะว่าอากาศแย่,"Am diesen Sonntag gehen sie ins Kino, denn das Wetter ist schlecht.",- เพราะว่า: denn
วันที่ ๒๕ ธันวาคมครอบครัวมักจะไปเยี่ยมปู่ย่าตายาย,Am fünfundzwanzigsten Dezember besucht die Familie oft die Großeltern.,
เสาร์อาทิตย์ที่แล้ว Ana ไป(f→n)เบอร์ลิน,Am letzten Wochenende ist Ana nach Berlin gefahren.,- perfekt
สำคัญที่สุดสำหรับ(f)ฉันคือลูกของฉัน(K),Am wichtigsten ist für mich mein Kind.,
คอนเสิร์ตมีวันที่เท่าไหร่,Am wievielten ist das Konzert?,
ที่สะพาน Hobrecht พวกเขาเดินข้ามคลอง,An der Hobrechtbrücke überqueren sie den Kanal.,
ที่กระเป๋ามีผีเสื้อตัวหนึ่งเกาะอยู่,An der Tasche sitzt ein Schmetterling.,- ขึ้นประโยคด้วยบุพบท
Ana เคยเล่าให้ Max ฟังเกี่ยวกับ Pablo,Ana hat Max von Pablo erzählt.,Perfekt
Ana เหนื่อย　คอร์สเรียนภาษาเยอรมันของเธอจบแล้วและเธอก็กลับ(n)บ้านด้วยจักรยาน,Ana ist müde. Ihr Deutschkurs ist zu Ende und sie fährt mit dem Fahrrad nach Hause.,
Ana หน้าแดง,Anas Gesicht wird rot.,
อย่าทำงานหนักจนเกินไปนะ,Arbeite nicht so viel.,- du
ระหว่างทางไปสนามบิน Julia ตื่นเต้น,Auf dem Weg zum Flughafen ist Julia nervös.,
ระหว่างทางไปกินอาหารเช้าฉันเห็นเวลาจากนาฬิกา<u>เรือนหนึ่ง</u>ในโถงทางเดิน　มันเป็นเวลา 10 โมง,Auf dem Weg zum Frühstück sehe ich die Uhrzeit auf einer Uhr im Flur. Es ist zehn Uhr.,
เธอรอใคร,Auf wen wartest du?,
แสงมาจากทางตะวันออก,Aus dem Osten kommt das Licht.,"เริ่มประโยคที่ ""จากทางตะวันออก"""
ระหว่างทำงานฉันไม่สามารถโทรศัพท์ได้,Bei der Arbeit kann ich nicht telefonieren.,
ด้านข้าง(!n)ถ้วยมีช้อนคันหนึ่งวางอยู่,Bei der Schüssel liegt ein Löffel.,
ทั้งสองเพศต่างร้องเพลง,Beide Geschlechter singen.,
กรุณาใช้ทางเข้าด้านข้าง,Benutzen Sie bitte den Nebeneingang.,- Sie<br>- bitte
เบอร์ลินเป็นเมืองหลวง　ที่นั่นจึงมีสิ่งอำนวยความสะดวกมากมาย　มีอะไรทำอยู่ตลอด,Berlin ist die Hauptstadt. Da gibt es viele Angebote. Es ist immer viel los.,
แล้วพบกันอีก,Bis bald!,
เจอกันวันพรุ่งนี้,Bis morgen!,
เธอพร้อมที่จะออกบ้านแล้วหรือยัง,Bist du bereit aus dem Haus zu gehen?,
<b><i><u>โปรด</u></i></b>ตอบกลับถึงฉันภายในวันพุธหรือไม่ก็โทรหาฉัน,Bitte antworte mir bis Mittwoch oder ruf mich an.,- du
กรุณาพูดช้า ๆ หน่อยครับ,Bitte sprechen Sie langsam.,- Sie<br>- bitte~
กรุณา(Sie)นำถังขยะ(พหู)ไปวางที่ริมถนนก่อนหกโมงเช้า,Bitte stellen Sie die Mülleimer vor sechs Uhr an den Straßenrand.,
เอาเก้าอี้(พหู)ไปไว้ตรงระเบียงให้หน่อย,Bring die Stühle bitte auf den Balkon.,"- du, bitte"
Bärlin กับ Franka อยู่ที่งานเลี้ยง,Bärlin und Franka sind auf der Party.,
วิชาเคมีสนุก,Chemie macht Spaß.,
