thaïlandais,français,หมายเหตุ
เธอมีขนมปังไหม,As-tu du pain?,v+s
สวัสดีตอนเย็น　ฉันจองไว้สำหรับสองที่,Bonsoir. J'ai une réservation pour deux.,
สิ่งนี้อยู่ไกลออกไปจากสิ่งนั้น,C'est au-delà de ça.,
มีกี่อัน,C'est combien?,
มันตลก,C'est drôle.,
นั่น(ญ)เป็นของพวกเขา,C'est la leur.,
มันอยู่ไกลจากร้านขนมปังไหม,C'est loin de la boulangerie?,
นั่นมันเขา,C'est lui.,
นั่นเป็นสีโปรดของฉัน,C'est ma couleur préférée.,
นี่เป็นวันเกิดของเธอ,C'est ton anniversaire.,
มันเป็นวันที่สำคัญวันหนึ่ง,C'est un jour important.,
มันเป็นจดหมายที่สำคัญฉบับหนึ่ง,C'est une lettre importante.,
ม้าตัวนี้ราคาแพง,Ce cheval est cher.,
สุนัขตัวนี้สายพันธ์อังกฤษ,Ce chien est anglais.,
มันคือแอปเปิล(พหู),Ce sont des pommes.,
รองเท้าบูตเหล่านี้เป็นของเขา,Ces bottes lui appartiennent.,
เสื้อเหล่านี้เป็นของยุโรป,Ces chemises sont européennes.,
เด็กกินสตรอเบอร์รี่กี่ชิ้น,Combien de fraises mange l'enfant?,
เขาได้(เงิน)เท่าไหร่,Combien il gagne?,
เธอกินไก่(+a)อย่างไร,Comment manges-tu le poulet?,
ตั้งแต่เขารวย เขาก็เลว,"Depuis qu'il est riche, il est mauvais.",
ทันทีที่เขาอ่าน ฉันก็อ่าน,"Dès qu'il lit, je lis.",
เธอ(๓ญ)ซื้อเสื้อสีแดงสวย ๆ ตัวหนึ่ง,Elle achète une jolie robe rouge.,
เธอ(๓ญ)ตามหาแมวของเธอ,Elle cherche son chat.,
เธอ(๓)มีผมสีทอง,Elle est blonde.,
เธอ(๓ญ)นั้นอ่อนหวานกับแมว(พหู),Elle est douce envers les chats.,
เธอ(๓)สวย(!b),Elle est jolie.,
เธอ(๓ญ)กับฉันกินแอปเปิล(พหู),Elle et moi mangeons des pommes.,
เธอ(๓ญ)ทำชีส,Elle fait du fromage.,
เขา(๓ญ)อยู่บ้านหลังใหญ่,Elle habite dans une grande maison.,
เขา(๓ญ)ยืนยัน(มัน),Elle l'affirme.,
เธอ(๓)อ่านเพราะว่าเธอมีหนังสือเล่มหนึ่ง,Elle lit parce qu'elle a un livre.,
เธอ(๓ญ)เอารองเท้าให้เขาดู,Elle lui montre les chaussures.,
เธอ(๓ญ)กินเครป(พหู) แต่เธออยากกินช็อกโกแลต,"Elle mange des crêpes, mais elle veut manger du chocolat.",
เธอ(๓ญ)กินเลมอนหนึ่งลูกและสตรอว์เบอร์รีจำนวนหนึ่ง,Elle mange un citron et des fraises.,
เขา(๓ญ)เดินไปถึงบ้านผู้ชาย,Elle marche jusque chez l'homme.,
เธอ(๓)คุยกับผู้ชายคนหนึ่งที่ทำงานในสนามบิน,Elle parle avec un homme qui travaille à l'aéroport.,
เธอ(๓)เป็นเจ้าของชุดเดรสสีแดงตัวหนึ่ง,Elle possède une robe rouge.,
เขา(๓ญ)เขียนหนังสือของเขาเสร็จ,Elle termine son livre.,
พวกเขา(ญ)บอกว่าไม่,Elles disent non.,
พวกเขา(ญ)อ่านหนังสือ(พหู)ของเรา,Elles lisent nos livres.,
พวกเธอ(๓ญ)เขียนหนังสือเล่มหนึ่งหรอ,Est-ce qu'elles écrivent un livre?,eq
นั่นคือนก(ตัวหนึ่ง)หรอ,Est-ce que c'est un oiseau?,Ec
เขามีหนังสืออยู่จำนวนหนึ่ง,Il a des livres.,
เขามีแมวตัวใหม่หนึ่งตัว,Il a un nouveau chat.,
เขามีเข็มขัดสีดำหนึ่งเส้น,Il a une ceinture noire.,
เขาช่วยหมาของเขา,Il aide son chien.,
เขาเรียกภรรยาของเขา,Il appelle sa femme.,
เขาตัดแซนด์วิช,Il coupe le sandwich.,
เขาเชื่อลูกฉัน,Il croit mon enfant.,
เขาเข้ามาคนเดียว,Il entre seul.,
เขาอยู่ในห้องน้ำ,Il est aux toilettes.,
เขาอยู่บ้านของเขา,Il est chez lui.,
เขามาจากแคนาดา,Il est du Canada.,être
เขาอ้วน แม้ว่าเขาจะกินผัก,"Il est gros, alors qu'il mange des légumes.",
เขารวย,Il est riche.,
อากาศร้อนและเขา(๓ญ)ก็ผิวก็ดำแดด,Il fait chaud et elle bronze.,
นมหมด / ต้องการนม,Il faut du lait.,
จำเป็นต้องกิน,Il faut manger.,
เขาปิดหนังสือ,Il ferme le livre.,
เขาเสร็จแล้ว,Il finit.,
เขาโชว์ฉลามให้พวกเขาดู,Il leur montre le requin.,
เขาอ่านหนังสือเล่มหนึ่ง ในขณะที่(!p)ฉันเขียนจดหมายฉบับหนึ่ง,"Il lit un livre, alors que j'écris une lettre.",
เขาช่วยฉัน,Il m'aide.,
เขากินแซนด์วิชแบบไม่มีไก่,Il mange un sandwich sans poulet.,
มัน(ช)ไม่อยู่ในกระเป๋าของฉัน,Il n'est pas dans mon sac.,
เขาอ่านหนังสือเล่มหนึ่งให้พวกเราฟัง,Il nous lit un livre.,
เขาวางดอกกุหลาบ(พหู+d),Il pose des roses.,
เขาวางขนมปัง(+a),Il pose le pain.,
เขาเป็นเจ้าของหมูตัวหนึ่ง,Il possède un cochon.,
เขากลับจากโรงเรียน,Il rentre de l'école.,
เขาอยู่ที่นี่หนึ่งชั่วโมง,Il reste ici une heure.,
เขาชื่ออะไร,Il s'appelle comment?,SV
เขาปรารถนาที่จะกิน,Il souhaite manger.,
เขา(ช)ไปจนถึงบ้านของเขา(ญ),Il va jusque chez elle.,
เขาอยากได้ขนมเค้กห้าชิ้น,Il veut cinq parts de gâteau.,
เขาน่าจะอยากได้หนังสือ(พหู),Il veut peut-être des livres.,
มีอาหารและขวดไวน์เยอะอยู่บนโต๊ะ,Il y a beaucoup de nourriture et de bouteilles de vin sur la table.,
มีแก้วน้ำเปล่า(พหู)อยู่บนโต๊ะ,Il y a des verres d'eau sur la table.,
มีแอปเปิลมากขึ้น,Il y a plus de pommes.,
มีร้านขนมปังที่ดีอยู่ร้านนึงใกล้ที่นี่,Il y a une bonne boulangerie près d'ici.,
มีผู้หญิงคนหนึ่งอยู่ในห้องนั่งเล่น,Il y a une femme dans le salon.,
มีงานเลี้ยงขนาดใหญ่ที่บ้านของน้องสาวของฉันสำหรับวันเกิดของเอ็มมา,Il y a une grande fête chez ma sœur pour l'anniversaire d'Emma.,
มีดอกกุหลาบสีเหลืองอยู่ดอกหนึ่ง,Il y a une rose jaune.,
เขาเขียนให้เด็ก ๆ ผู้หญิงและชาย,Il écrit aux filles et aux garçons.,
เขาเขียนทันทีที่เขาอยู่คนเดียว,Il écrit dès qu'il est seul.,
พวกเขากินเนื้อสีแดง,Ils mangent de la viande rouge.,- ไม่เจาะจง
พวกเขากินข้าว,Ils mangent du riz.,- ไม่เจาะจง
พวกเขาเดินโดยไม่มีรองเท้า,Ils marchent sans chaussures.,
พวกเขาพูดเป็นภาษาญี่ปุ่น,Ils parlent en japonais.,
พวกเขารู้ว่าเราอาศัยอยู่ที่ไหน,Ils savent où nous vivons.,
พวกเขาเขียนชื่อ(จำนวนหนึ่ง),Ils écrivent des noms.,
ฉันมีความจำเป็นที่จะได้วีดิโอเกมใหม่,J'ai besoin d'un nouveau jeu vidéo.,
ฉันมีความต้องการที่จะได้อาหารทั้งหมดนี้และไวน์ทั้งหมดนี้ ณ ตอนนี้,J'ai besoin de toute cette nourriture et de tout ce vin maintenant.,
ฉันร้อน,J'ai chaud.,
ฉันอายุแปดขวบ,J'ai huit ans.,
ฉันหิวมาก,J'ai très faim.,
ฉันชอบดื่มไวน์แดง,J'aime boire du vin rouge.,
ฉันชอบสีชมพู,J'aime la couleur rose.,
