ไทย,Bahasa Indonesia,หมายเหตุ
ฉัน(!s)เขียนหนังสือ,Aku menulis buku.,
ฉันชอบเธอ,Aku suka kamu.,
Andi นอนในโรงแรม,Andi tidur di hotel.,
สบายดีไหม,Apa kabar?,
ชาเย็นราคาเท่าไหร่,Berapa harga es teh?,
อาหารฉัน(!a)ราคาเท่าไหร่,Berapa harga makanan saya?,
เธออายุเท่าไหร่,Berapa umur kamu?,
ที่ตรงโน้น(!sn)มีธนาคารอยู่,Di situ ada bank.,
เขามาจากจาการ์ตา ไม่ใช่จากบาหลี,"Dia dari Jakarta, bukan dari Bali.",
เขาออกมาจากห้องน้ำ,Dia keluar dari toilet.,
เขาแข็งแรง,Dia kuat.,
เขากินในครัว,Dia makan di dapur.,
เขาเขียนหนังสือหนึ่งเล่ม,Dia menulis sebuah buku.,
เขาเขียนจดหมาย,Dia menulis surat.,
เขาไปตลาด,Dia pergi ke pasar.,
เขากินไม่ได้,Dia tidak bisa makan.,
อาคารนี้ไม่ใช่โรงแรม,Gedung ini bukan hotel.,
สวัสดี ชื่อฉัน(!a)คือ Andi,"Halo, nama saya Andi.",
เขา(๓ญ)กลับมาโรงเรียน,Ia kembali ke sekolah.,
เธอ(๓ญ)อ่านหนังสือพิมพ์,Ia membaca koran.,
นี่เป็นไก่ของฉัน(!a),Ini ayam saya.,
นี่คือหนังสือพิมพ์ของคุณใช่ไหม,Ini koran anda?,
พวกเธอดื่มน้ำ,Kalian minum air.,
พวกเราตัวใหญ่และรวย,Kami besar dan kaya.,- ไม่รวมผู้ฟัง
เราอยากจ่ายสำหรับอาหารมื้อนี้,Kami mau bayar makanan ini.,
พวกเราอ่านและเขียนที่โรงเรียน,Kami membaca dan menulis di sekolah.,
พวกเรา(-2)ไปที่โน่น,Kami pergi ke sana.,
พวกเรา(-2)สั่งชาและพวกเขาสั่งกาแฟ,Kami pesan teh dan mereka pesan kopi.,
พวกเรา(-๒)เข้าไปไม่ได้,Kami tidak bisa masuk.,
เธอมาจากญี่ปุ่น,Kamu dari Jepang.,
เธอมาจากที่ไหน,Kamu dari mana?,
เธออยากได้ข้าวกับไก่ไหม,Kamu mau nasi dengan ayam?,
เธออ่านเมนูนี้,Kamu membaca menu ini.,
เธอดื่มน้ำ ฉัน(!a)กินแอปเปิล,"Kamu minum air, saya makan apel.",
เธอดื่มสิ่งนั้น,Kamu minum itu.,
เธอโผล่มาแล้วก็กิน,Kamu muncul dan makan.,
เธอมีแอปเปิล,Kamu punya apel.,
เธอไม่จำ,Kamu tidak ingat.,
พวกเรา(ฉันและเธอ)เขียนจดหมาย,Kita menulis surat.,
