タイ語,日本語,หมายเหตุ
ห้องของเขานั้น ไม่ว่าจะพื้นหรือ<b><u><i>บน</i></u></b>เตียงก็มีของกระจัดกระจาย(二文字)เต็มไปหมด,彼の部屋は、床といわずベッドの上といわず、いろいろなものが散乱しています。,・「〜いわず」を使って<br>・丁寧語
ไม่มีเหตุผลที่เธอจะ<u>รู้สึก</u>มีปมด้อยกับใคร,あなたは誰にも劣等感を感じる理由はない。,
คนนั้น เดี๋ยวหัวเราะเดี๋ยวก็โกรธ หลายหลายอารมณ์จังเลยนะ,あの人、笑ったり怒ったりして、喜怒哀楽が激しいんだね。,・四字熟語を使って
ถ้าพิจารณาถึงสภาพการณ์การบริหารงานอย่างชุ่ยของบริษัทนั้นแล้ว ไม่พูดไม่ได้เลยว่าไม่แปลกใจที่มีปัญหาในครั้งนี้ออกมา,あの会社の杜撰な経営体質を考えると、今回の問題は出るべくして出たと言わざるを得ないだろう。,・『べくして』を使って
ไม่น่าเชื่อเลยว่าคนแก่ที่ดูใจดีคนนั้นจะเป็นผู้ร้ายในคดีชิงทรัพย์,あの優しそうな老人が強盗事件の犯人だったとは…,・『とは』を使って
ผู้หญิงคนนั้นเอาแต่โกหกมาตั้งแต่เป็นเด็ก <u>สุดท้าย</u>ก็เลยถูกจับกุมเพราะต้มตุ๋น,あの女は子供のころから嘘ばかりついていて、最後には詐欺で捕まるしまつだ。,・『しまつ』を使って
เด็กคนนั้นพยายามช่วยเหลือ(助)พ่อแม่ตามประสาเด็ก,あの子は幼いなりに親を助けようとしている。,・『なりに』を使って
ภาพยนตร์เรื่องนั้นภาคก่อนมีคนดูเกิน 2.5 ล้านคนแท้ ๆ แต่ได้ยินมาว่าภาคต่อมีคนดูไม่ถึงล้านคนเลย,あの映画は前作の観客が250万人を超えたのにひきかえ、続編は100万人も届かなかったそうだ。,『ひきかえ』を使って
หนังเรื่องนั้น<b><u>เนื้อหา</u></b>ซับซ้อนที่สุด จึงไม่เป็นที่นิยมในหมู่เด็ก ๆ,あの映画は複雑極まる内容で、子どもには人気がない。,
ประธานนักเรียนคนนั้นเป็นคนโปร่งใสตรงไปตรงมา ก็เลยไว้ใจได้,あの生徒会長は公明正大だから信頼できる。,・四字熟語を使って
