日本語,日本語の読み方,タイ語,Add Reverse
帰一算,きいちざん,บัญญัติไตรยางค์,y
あんかけ,,น้ำบนไข่ตุ๋น,y
いたち,,เพียงพอน,y
うずら,,นกกระทา,y
うたた寝,うたたね,การงีบหลับ การเผลอหลับ,y
うつ伏せに寝る,うつぶせにねる,นอนคว่ำ,y
うなじ,,หลังคอ ง่อน,y
えら,,เหงือก (ปลา),y
おしむ,,เสียดาย อาลัยอาวรณ์,y
おたま,,ที่ตักแกง ที่ตักซุป,y
おたまじゃくし,,ลูกอ๊อด,y
おっかない,,น่ากลัว,
お墨付き,おすみつき,ลายเซ็น การรับรอง เอกสารที่รับรองความถูกต้องแล้ว,y
お殿様,おとのさま,ขุนนาง ผู้ปกครองแคว้น,y
お節介を焼く,おせっかいをやく,จุ้นจ้านเรื่องของคนอื่น,y
お転婆,おてんば,ห้าว แก่น,y
お辞儀,おじぎ,การก้มแสดงความเคารพ,y
かたつむり,,หอยทาก,y
かりんとう,,ขนม (แป้งชุบน้ำตาลทอด),y
こぶみかん,,มะกรูด,y
こもる,,ปิดอยู่ กักอยู่ เก็บตัว,y
ご高説を賜る,ごこうせつをたまわる,ได้รับคำชม ยกย่อง,y
ざくろ,,ทับทิม,y
しゃがむ,,ย่อ นั่งยอง คุกเข่า,y
しゃもじ,,ป้ากตักข้าว,y
すっぽかす,<div><br></div>,ปล่อยทิ้งไว้ ละเลย ผิดนัดผิดสัญญา,y
すなわち,,กล่าวคือ,y
ずきずき,,อย่างเจ็บปวด,
せいぜい,,อย่างมากก็,y
せびる,,ขอ (เงิน),y
そこら中,そこらじゅう,มีทั่วทุกที่,y
たちまち,,แป๊ปเดียว ชั่วครู่ ทันทีทันใด,
たてがみ,,ขนหลังม้า,y
たんぱく質,たんぱくしつ,โปรตีน,y
つぎ込む,,ใช้(เงิน คน)ไปเป็นจำนวนมาก,y
つっぺ,,การเอาทิชชู่ยัดจมูก,y
つばめ,,นกนางแอ่น,y
つぶさに,,อย่างละเอียด,y
つまづく,,สะดุด,y
とんかち,,ค้อน (!k),y
どんぶらこ,,(ลูกท้อ)ไหลมาตามน้ำ,y
なぞらえる,,เปรียบเทียบ เลียนแบบ,
なにぶん,,อย่างไรก็ตาม,
ねじ回し,ねじまわし,ไขควง (ฮิรากานะ),y
のどちんこ,,ลิ้นไก่ (和),y
ふかふか,,นิ่มและหยุ่น,
ふくらはぎ,,น่อง,y
ふけ,,รังแค,y
ふすま,,ประตูกระดาษ (ไม่มีตาราง),y
ぷかぷか,,ลอย(อยู่กับที่),y
ほうき,,ไม้กวาด,y
ほうれい線,ほうれいせん,ร่องแก้ม,y
ぼやける,,เบลอ ไม่ชัด (!ブ),y
まき散らす,まきちらす,โปรย หว่าน พรม,y
まな板,まないた,เขียง,y
むせる,,สำลัก,y
めざましい,,โดดเด่น น่าทึ่ง,
もがく,,ดิ้นรน กระเสือกกระสน,y
もぐら,,ตัวตุ่น,y
もつれ,,การพันกัน วุ่น ยุ่งเหยิง,y
ものもらい,,ตากุ้งยิง (和語),y
アクセル,,คันเร่ง,y
アスペクト比,アスペクトひ,อัตราส่วนรูปภาพ,y
アライグマ,,แรคคูน,y
インターホン,,โทรศัพท์ประตูบ้าน,y
インチキ,,การหลอกลวง ต้มตุ๋น (カタカナ),y
ウィンカー,,ไฟเลี้ยว,y
エンドロール,,ฉากเครดิต,y
オジギソウ,,ต้นไมยราบ,y
オートマ,,เกียร์อัตโนมัติ,y
カチコミ,,ยกพวก (ไปรุมต่อย),y
カモメ,,นกนางนวล,y
カワウソ,,นาก,y
カーキー色,カーキーいろ,สีกากี,y
クラクション,,แตรรถ,y
クラゲ,,แมงกะพรุน,y
グリッター,,กากเพชร,y
コソ弁,コソべん,การแอบกินขณะเรียน,y
コンドル,,นกแร้ง,y
コンプレックス,,ปมด้อย,y
サイドミラー,,กระจกมองข้าง,y
サシ飲み,サシのみ,การดื่มกันสองต่อสอง,y
サムネイル,,ภาพย่อ ภาพตัวอย่าง,y
シャーペン,,ดินสอกด,y
シャー芯,シャーしん,ไส้ดินสอ,y
ジャッキ,,แม่แรง,y
ジュラ紀,ジュラき,ยุคจูราสสิก,y
ジレンマ,,การกลืนไม่เข้าคายไม่ออก ภาวะที่ยากจะตัดสินใจได้,y
スケバン,,หัวหน้าแก๊งที่เป็นผู้หญิง นักเลงผู้หญิง,y
スコップ,,จอบ เสียม（カタカナ）,y
スパナ,,ประแจ,y
スペクトル,,สเปกตรัม,y
タイマン,,ต่อยเดี่ยว หนึ่งต่อหนึ่ง,y
タライ,,กะละมัง,y
ダイジェスト,,การสรุปย่อ,
テコンドー,,เทควันโด,y
デフレ,,เงินฝืด,y
トイレブラシ,,แปรงขัดส้วม,y
トランジスタ,,ทรานซิสเตอร์,y
トランプ,,ไพ่,y
トリュフ,,เห็ดทรัฟเฟิล,y
ドアアイ,,ตาแมว (คาตาคานะ),y
ドア枠,ドアわく,วงกบประตู,y
ドライバー,,ไขควง (คาตาคานะ),y
ニュートラル,,เกียร์ว่าง,y
ニラ,,กุยช่าย,y
ネズミ講,ネズミこう,มิจฉาชีพลูกโซ่,y
ハシゴする,,ไปหลาย ๆ ร้าน,y
ハンドル,,พวงมาลัย,y
バックギア,,เกียร์ถอยหลัง,y
バックミラー,,กระจกมองหลัง,y
バッタ,,ตั๊กแตน,y
パヤパヤ,,หัวปุ้,y
パラボラアンテナ,,จานดาวเทียม,y
ヒスる,,อารมณ์แปรปรวน อาละวาด,y
ヒヒ,,ลิงบาบูน,y
ヒモ,,แมงดา (เกาะเมียกิน),y
ビーフン,,เส้นหมี่,y
ピンキリ,,ช่วงราคากว้าง,y
ピンセット,,แหนบ,y
ピータン,,ไข่เยี่ยวม้า,y
ファスナー,,ซิป,
フロントガラス,,กระจกหน้ารถ,y
ブレッドボード,,โพรโทบอร์ด,y
ヘドロ,,<div>โคลนตม</div>,y
ベルノキ,,มะตูม,y
ペンチ,,คีม คีมหนีบ,y
ペーパードライバー,,คนที่มีใบขับขี่แต่ไม่ขับรถ,y
ホイッスル,,นกหวีด,y
ポケベル,,เพจเจอร์ (カタカナ),y
マジックテープ,,ตีนตุ๊กแก,y
マツエク,,การต่อขนตา,y
マツパ,,การดัดขนตา,y
マルチ商法,マルチしょうほう,ทำธุรกิจแบบลูกโซ่,y
ミーハー,,คนที่ตามกระแส,y
ラバ,,ล่อ (สัตว์),y
ラバーカップ,,ที่ดูดส้วม,y
リップクリーム,,ลิปมัน,y
リューズ,,เม็ดมะยม (นาฬิกา),y
ルージュ,,ลิปสติก (คาตาคานะ),y
