単語,読み方
お転婆,おてんば
うつ伏せ,うつぶせ
お殿様,おとのさま
お玉杓子,おたまじゃくし
お辞儀,おじぎ
ご利益,ごりやく
一塊,いっかい
一張羅,いっちょうら
一念発起,いちねんほっき
一朝一夕,いっちょういっせき
一致,いっち
一見さん,いちげんさん
一見する,いっけんする
一語,いちご
万事,ばんじ
丈,たけ
三箇条,さんかじょう
下請け,したうけ
不忍池,しのばずのいけ
不憫,ふびん
不朽,ふきゅう
不祥事,ふしょうじ
不随,ふずい
与する,くみする
中枢,ちゅうすう
中肉中背,ちゅうにくちゅうぜい
主催者,しゅさいしゃ
主従,しゅじゅう
主旨,しゅし
乖離,かいり
乙女座,おとめざ
乞う,こう
乞食,こじき
亀甲,きっこう
事勿れ,ことなかれ
事柄,ことがら
互恵,ごけい
五穀豊穣,ごこくほうじょう
些細,ささい
亜鉛,あえん
交える,ましえる
交互,こうご
享受,きょうじゅ
人狼,じんろう
人相学,にんそうがく
人質,ひとじち
仁王立ち,におうだち
仁義,じんぎ
仄めかす,ほのめかす
他人事,ひとごと
付き纏う,つきまとう
仰ぐ,あおぐ
仰向け,あおむけ
伏せる,ふせる
低俗,ていぞく
低迷,ていめい
住民,じゅうみん
体裁,ていさい
余韻,よいん
併合,へいごう
侮辱,ぶじょく
便秘,べんぴ
促,そく
促す,うながす
促進,そくしん
俄,にわか
俎,まないた
信仰,しんこう
信楽焼き,しがらきやき
修める,おさめる
修行,しゅぎょう
修験,しゅげん
俯瞰,ふかん
俵,たわら
値,あたい
倦怠感,けんたいかん
偏見,へんけん
健闘,けんとう
偵察,ていさつ
偽り,いつわり
傍受,ぼうじゅ
傑作,けっさく
傘寿,さんじゅ
備える,そなえる
傲慢,ごうまん
債権,さいけん
傾げる,かしげる
傾向,けいこう
僅か,わずか
僧,そう
儚い,はかない
優れる,すぐれる
兆し,きざし
兆候,ちょうこう
克服,こくふく
兌換紙幣,だかんしへい
免れる,まぬかれる
全盛,ぜんせい
八代亜紀,やしろあき
公,おおやけ
具に,つぶさに
典型,てんけい
内訳,うちわけ
冒涜,ぼうとく
冒頭,ぼうとう
冤罪,えんざい
冴える,さえる
凌ぐ,しのぐ
凝る,こる
凝視,ぎょうし
凡そ,およそ
凡例,はんれい
凧,たこ
出る杭は打たれる,出(で)る杭(くい)は打(う)たれる
出会い頭,であいがしら
出納,すいとう
出資,しゅっし
刀,かたな
刃,やいば
刃牙,ばき
分割,ぶんかつ
分裂,ぶんれつ
切磋琢磨,せっさたくま
利益,りえき
制御,せいぎょ
制裁,せいさい
