ไทย,Tagalog,หมายเหตุ
ฉันเป็นผู้ชาย,Ako ay lalaki.,S~
ฉันมีเพื่อนอยู่ที่เมืองเกซอนซิตี้,Ako ay may kaibigan sa Quezon City.,SVO
ฉันคือจอห์น,Ako ay si John.,S~
มะนิลาเป็นเมืองหนึ่งของฟิลิปปินส์,Ang Maynila ay isang lunsod ng Pilipinas.,S~
ลูกฉันไม่ได้ดีเท่ากับลูกของเขา,Ang aking anak ay hindi kasimbait ng anak niya.,S(a+n)VO(n+a)
ลูก ๆ ของฉันเป็นเด็กดี,Ang aking mga anak ay mababait.,S~ a+n
หมาและแมวเป็นสัตว์,Ang aso at pusa ay mga hayop.,S~
ผู้หญิงนิสัยดีไหม,Ang babae ba ay mabait?,S~
บ้านของมารีหลังใหญ่,Ang bahay ni Mary ay malaki.,S~
เดรสเธอตัวใหม่,Ang baro mo ay bago.,S~ n+a
ชุดพื้นเมืองของเด็กนั้นใหม่,Ang baro ng bata ay bago.,S~
เด็กนิสัยดี,Ang bata ay mabait.,S~
ลมแรงนั้นหนาว,Ang hanging malakas ay malamig.,S~ n+a
แม่<sub>(เอก)</sub>ของพวกเธอใจดี,Ang ina ninyo ay mabait.,S~ n+a
พ่อของพวกเธอใจดี,Ang inyong ama ay mabait.,S~ a+n
โต๊ะตัวนี้สะอาด,Ang mesang ito ay malinis.,S~ n+a
สิ่งเหล่านั้นใหญ่,Ang mga iyan ay malalaki.,S~
รองเท้าสะอาด,Ang mga sapatos ay malilinis.,S~ พหูพจน์
ชื่อคุณคืออะไร,Ano ba ang pangalan ninyo?,- n+a<br>- สุภาพ
นั่นอะไร,Ano ba iyan?,
เธอชอบอะไร,Anong gusto mo?,aQ
ชื่อของพวกคุณคืออะไร,Anu-ano ba ang mga pangalan ninyo?,n+a
รถเราใหม่,Bago ang kotse namin.,- ~S n+a<br>- ไม่รวมผู้ฟัง
รอยยิ้มเขาเหมือนกับดวงอาทิตย์,Gaya ng araw ang kanyang ngiti.,VOS(a+n)
พวกคุณชอบ(อยู่)ฟิลิปปินส์ไหม,Gusto ba ninyo sa Pilipinas?,
เธอชอบอันนี้ไหม,Gusto mo ba ito?,
เธอเป็นผู้หญิง,Ikaw ay babae.,S~
ลูกของคุณมีกี่คน,Ilan ba ang anak ninyo?,n+a
ลูก ๆ ของพวกเขามีกี่คน,Ilan-ilan ba ang mga anak nila?,n+a
บ้านหลังใหญ่คือโรงเรียนแห่งหนึ่ง,Isang paaralan ang bahay na malaki.,~S n+a
โต๊ะตัวนี้มันสะอาด,Itong mesang ito ay malinis.,S~ a+n+a
สิ่งนั้นคืออาหารของมารี,Iyan ay pagkain ni Mary.,S~
พวกเราเป็นพี่น้อง,Kami ay magkapatid.,- S~<br>- ไม่รวมผู้ฟัง
พวกเรา(-2)มีบ้านอยู่ที่มะนิลา,Kami ay may bahay sa Maynila.,SVO
พวกเราคือจอห์นกับเฮเลน,Kami ay sina John at Helen.,- S~<br>- ไม่รวมผู้ฟัง
บ้าน(พหู)หลังนั้นเป็นของใคร,Kani-kanino ba ang mga bahay na iyan?,n+a
