Tagalog,ไทย,Add Reverse
aking,ของฉัน (a+n),y
aklat,หนังสือ,y
ako,ฉัน,y
ama,พ่อ,y
aming,ของเรา kami (a+n),y
anak,ลูก,y
araw,วัน,y
asawa,สามี ภรรยา,y
aso,สุนัข,y
ating,ของเรา tayo (a+n),y
babae,ผู้หญิง,y
bago,ใหม่,y
bahay,บ้าน,y
bansa,ประเทศ,y
baro,ชุดพื้นเมือง,y
bata,เด็ก,y
bulaklak,ดอกไม้,y
bundok,ภูเขา,y
dagat,ทะเล,y
dahon,ใบไม้,y
damit,ชุด ผ้า,y
gabi,ตอนเย็น กลางคืน,y
gamot,ยา,y
gulay,ผัก,y
guro,ครู,y
hangin,ลม,y
hapon,ตอนบ่าย,y
hayop,สัตว์,y
ibon,นก,y
ikaw,เธอ (S~),y
ina,แม่,y
inyong,ของคุณ พหู/สุภาพ (a+n),y
isda,ปลา,y
ito,นี้,y
iyan,นั้น,y
iyon,นู้น โน้น,y
iyong,ของเธอ (a+n),y
ka,เธอ (~S),y
kaibigan,เพื่อน,y
kami,พวกเรา (ไม่รวมผู้ฟัง),y
kanilang,ของพวกเขา sila (a+n),y
kanyang,ของเขา (a+n),y
kapatid,พี่น้อง,y
kape,กาแฟ,y
kayo,พวกเธอ คุณ,y
kotse,รถ,y
lalaki,ผู้ชาย,y
lamok,ยุง,y
langit,ท้องฟ้า,y
lapis,ดินสอ,y
luma,เก่า,y
lunsod,เมือง,y
luto,สุก (อาหาร),y
mababa,ต่ำ,y
mabait,นิสัยดี ใจดี,y
mabilis,เร็ว,y
mabuti,ดี,y
madilim,มืด,y
maganda,สวยงาม,y
mahaba,ยาว,y
mahal,แพง มีค่า,y
mahirap,จน,y
mahusay,เพียงพอ,y
maingay,เสียงดัง,y
mainit,ร้อน,y
maitim,ดำ,y
malakas,แข็งแรง,y
malaki,ใหญ่,y
malamig,เย็น,y
maliit,เล็ก,y
malinis,สะอาด,y
malusog,สุขภาพดี,y
marami,มาก เยอะ,y
marumi,สกปรก,y
marunong,เก่ง,y
masama,เลว,y
masarap,อร่อย,y
mataas,สูง,y
mataba,อ้วน,y
matalino,ฉลาด,y
matamas,หวาน,y
matanda,แก่,y
mayaman,รวย,y
mesa,โต๊ะ,y
mo,ของเธอ (n+a),y
mura,ราคาถูก,y
naman,เช่นกัน (!r),y
namin,ของเรา kami (n+a),y
natin,ของเรา tayo (n+a),y
nila,ของพวกเขา (n+a),y
ninyo,ของคุณ พหู/สุภาพ (n+a),y
niya,ของเขา (n+a),y
paaralan,โรงเรียน,y
pagkain,อาหาร,y
papel,กระดาษ,y
payat,ผอม,y
puno,ต้นไม้,y
pusa,แมว,y
rin,ก็ เช่นกัน (!n),y
saan,ที่ไหน,y
sapatos,รองเท้า,y
sila,พวกเขา / เขา (สุภาพ),y
silya,เก้าอี้,y
simbahan,โบสถ์,y
siya,เขา (๓),y
tahimik,เงียบ,y
tamad,ขี้เกียจ,y
tanghali,ตอนกลางวัน,y
tao,คน,y
tayo,ฉันและเธอ พวกเรา (รวมผู้ฟัง),y
tubig,น้ำ,y
umaga,ตอนเช้า,y
