pregunta,resposta
[gerundi] aprendre,aprenent
[gerundi] dormir,dormint
[gerundi] escriure,escrivint
[gerundi] llegir,llegint
[participi] admetre,admés
[participi] aparéixer,aparegut
[participi] aprendre,aprés
[participi] conduir,conduït
[participi] coneixer,conegut
[participi] córrer,corregut
[participi] dir,dit
[participi] encendre,encés
[participi] ploure,plogut
[participi] poder,pogut
[participi] prendre,pres
[participi] riure,rigut
[participi] saber,sabut
[participi] vendre,venut
[participi] vindre,vingut
[participi] viure,viscut
[participi] voler,volgut
