verb,jo,tu,ell/ella/vosté,nosaltres,vosaltres,ells/elles/vostés
[futur] anar,aniré,aniràs,anirà,anirem,anireu,aniran
[futur] aprendre,aprendré,aprendràs,aprendrà,aprendrem,aprendreu,aprendran
[futur] escriure,escriuré,escriuràs,escriurà,escriurem,escriureu,escriuran
[futur] fer,faré,faràs,farà,farem,fareu,faran
[futur] haver,hauré,hauràs,haurà,haurem,haureu,hauran
[futur] veure,veuré,veuràs,veurà,veurem,veureu,veuran
[imperfet] anar,anava,anaves,anava,anàvem,anàveu,anaven
[imperfet] aprendre,aprenia,aprenies,aprenia,apreníem,apreníeu,aprenien
[imperfet] beure,bevia,bevies,bevia,bevíem,bevíeu,bevien
[imperfet] conduir,conduïa,conduïes,conduïa,conduíem,conduíeu,conduïen
[imperfet] eixir,eixia,eixies,eixia,eixíem,eixíeu,eixien
[imperfet] fer,feia,feies,feia,féiem,féieu,feien
[imperfet] haver,havia,havies,havia,havíem,havíeu,havien
[imperfet] llegir,llegia,llegies,llegia,llegíem,llegíeu,llegien
[imperfet] menjar,menjava,menjaves,menjava,menjàvem,menjàveu,menjaven
[imperfet] ser,era,eres,era,érem,éreu,eren
[imperfet] tindre,tenia,tenies,tenia,teníem,teníeu,tenien
[imperfet] voler,volia,volies,volia,volíem,volíeu,volien
[present de subjuntiu] anar,vaja,vages,vaja,anem,aneu,vagen
[present de subjuntiu] beure,bega,begues,bega,beguem,begueu,beguen
[present de subjuntiu] conduir,conduesca,conduesques,conduesca,conduïm,conduïu,conduesquen
[present de subjuntiu] dormir,dorma,dormes,dorma,dormim,dormiu,dormen
[present de subjuntiu] fer,faça,faces,faça,facem,faceu,facen
[present de subjuntiu] llegir,llegesca,llegesques,llegesca,llegim,llegiu,llegesquen
[present de subjuntiu] menjar,menge,menges,menge,mengem,mengeu,mengen
[present de subjuntiu] parlar,parle,parles,parle,parlem,parleu,parlen
[present de subjuntiu] poder,puga,pugues,puga,puguem,pugueu,puguen
[present de subjuntiu] ser,siga,sigues,siga,siguem,sigueu,siguen
[present de subjuntiu] tindre,tinga,tingues,tinga,tinguem,tingueu,tinguen
[present] afegir,afig,afiges,afig,afegim,afegiu,afigen
[present] agrair,agraïsc,agraïxes,agraïx,agraïm,agraïu,agraïxen
[present] anar,vaig,vas,va,anem,aneu,van
[present] anar-s'en,me'n vaig,te'n vas,se'n va,ens n'anem,us n'aneu,se'n van
[present] aprendre,aprenc,aprens,aprén,aprenem,apreneu,aprenen
[present] batre,bat,bats,bat,batem,bateu,baten
[present] beure,bec,beus,beu,bevem,beveu,beuen
[present] caldre,,,cal,,,calen
[present] cercar,cerque,cerques,cerca,cerquem,cerqueu,cerquen
[present] collir,cull,culls,cull,collim,colliu,cullen
[present] conéixer,conec,coneixes,coneix,coneixem,coneixeu,coneixen
[present] créixer,cresc,creixes,creix,creixem,creixeu,creixen
[present] córrer,córrec,corres,corre,correm,correu,corren
[present] delir,delisc,delixes / deleixes,delix / deleix,delim,deliu,delixen / deleixen
[present] deure,dec,deus,deu,devem,deveu,deuen
[present] dir-se,em dic,et dius,es diu,ens diem,us dieu,es diuen
[present] doldre,dolc,dols,dol,dolem,doleu,dolen
[present] dur,duc,dus,du,duem,dueu,duen
[present] eixir,isc,ixes,ix,eixim,eixiu,ixen
[present] empènyer,empeny,empenys,empeny,empenyem,empenyeu,empenyen
[present] escriure,escric,escrius,escriu,escrivim,escriviu,escriuen
[present] estar,estic,estàs,està,estem,esteu,estan
[present] fer,faig,fas,fa,fem,feu,fan
[present] fregir,frig,friges,frig,fregim,fregiu,frigen
[present] haver,he,has,ha,hem,heu,han
[present] incloure,incloc,inclous,inclou,incloem,incloeu,inclouen
[present] incloure,incloc,inclous,inclou,incloem,incloeu,inclouen
[present] llegir,llig,lliges,llig,llegim,llegiu,lligen
[present] menjar,menge,menges,menja,mengem,mengeu,mengen
[present] morir,morc,mors,mor,morim,moriu,moren
[present] moure,mòc,mous,mou,movem,moveu,mouen
[present] necessitar,necessite,necessites,necessita,necessitem,necessiteu,necessiten
[present] nàixer,nasc,naixes,naix,naixem,naixeu,naixen
[present] ovrir,obri,obris,obri,obrim,obriu,obrin
[present] parlar,parle,parles,parla,parlem,parleu,parlen
[present] perdre,perd,perds,perd,perdem,perdeu,perden
[present] pertànyer,pertanc,pertanys,pertany,pertanyem,pertanyeu,pertanyen
[present] preferir,preferisc,prefereixes,prefereix,preferim,preferiu,prefereixen
[present] prendre,prenc,prens,pren,prenem,preneu,prenen
[present] rebre,rep,reps,rep,rebem,rebeu,reben
[present] repetir,repetisc,repetixes,repetix,repetim,repetiu,repetixen
[present] respondre,responc,respons,respon,responem,responeu,responen
[present] riure,ric,rius,riu,riem,rieu,riuen
[present] saber,sé,saps,sap,sabem,sabeu,saben
[present] sentir,sent,sents,sent,sentim,sentiu,senten
[present] ser,sóc,eres,és,som,sou,són
[present] soler,solc,sols,sol,solem,soleu,solen
[present] tindre,tinc,tens,té,tenim,teniu,tenen
[present] traduir,traduïsc,traduïxes,traduïx,traduïm,traduïu,traduïxen
[present] témer,tem,tems,tem,temem,temeu,temen
[present] venir,vinc,véns,ve,venim,veniu,vénen
[present] veure,veig,veus,veu,veiem,veieu,veuen
[present] viure,visc,vius,viu,vivim,viviu,viuen
[present] voler,vull,vols,vol,volem,voleu,volen
[present] vèncer,venç,vences,venç,vencem,venceu,vencen
