tailandés,valencià,หมายเหตุ
ด้านใน(i)ของตู้เย็นมีแมวอยู่,A l'interior de la nevera hi ha el gat.,
ที่ห้องสมุดพวกเราได้เจอที่ที่ดีที่สุด(พหู)ในการอ่านหนังสือ,A la biblioteca hi trobem els millors llocs per a la lectura.,
ที่โรงเรียนของฉันมีอาจารย์(m)ท่านหนึ่งที่รู้วิธีอธิบายประวัติศาสตร์ของกาตาลุญญาได้ดี,A la meua escola hi ha un mestre que sap explicar bé la història de Catalunya.,
ในฤดูใบไม้ร่วงใบไม้ตกลงมาจากต้นไม้,A la tardor cauen les fulles dels arbres.,
ตอนสามทุ่มห้าสิบฉันดูทีวี,A les deu menys deu de la nit veig la tele.,(21:50)
ตอนเที่ยงครึ่ง(12:30)ฉันเรียนเสร็จแล้วก็กลับบ้าน,A les dotze i mitja acabe la classe i torne a ma casa.,
(ฉัน)ฉันชอบส้ม(พหู),"A mi, m'agraden les taronges.",ซ้ำฉัน
เธอทานอาหารเช้าตอนกี่โมง,A quina hora et desdejunes?,
รถไฟออกกี่โมง,A quina hora ix el tren?,
เธอจะไปจากที่นี่กี่โมง,A quina hora te'n vas d'aci?,
เธอไปโรงเรียนตอนกี่โมง,A quina hora vas al col·legi?,tu
คุณทำอาชีพอะไร (เป็นอาชีพอะไร),A què et dediques?,อุทิศ
เธอ เธอชอบฟุตบอลไหม,"A tu, t'agrada el futbol?",
พวกคุณชอบทำอะไรในวันเสาร์อาทิตย์,A vostés què els agrada fer a cap de setmana?,vostés
เมื่อก่อนฉันไม่เคยอยากกินชีสเลย,Abans no volia menjar mai formatge.,- imperfet
<u>งด</u>ขึ้นรถไฟหรือลงจากรถไฟหลังจากเสียงสัญญาณปิดประตู,Abstindre's de pujar al tren o baixar del tren després de sonar el senyal acústic de tancament de les portes.,- เสียงสัญญาณ - el senyal acústic
เขามักจะตื่นแต่เช้ามืด,Acostuma a alçar-se a la matinada.,- มัก a<br>- ตื่น a
เขามักจะกินข้าวเย็นตอนสามทุ่ม,Acostuma a sopar a les nou.,- มัก: a
เมื่อวานฝนหยุดตกอย่างไว,Ahir va deixar de ploure ràpidament.,
เมื่อวานวันอาทิตย์,Ahir va ser diumenge.,
กรุณายกศอกขึ้น,"Aixeca els colzes, si us plau.",
สิ่งนั้นทำให้เรากลัวได้ในบางที(t),Això ens fa por de tant en tant.,
นั่นไม่ใช่ทางเข้า แต่เป็นทางออก,"Això no és l'entrada, sinó l'eixida.",
ช่วยฉันยกของทั้งหมดนี่ไปไว้ชั้นบนให้หน่อย,Ajuda'm a pujar tot això cap a dalt.,
ตรงกลางของบ้านมีห้องครัว,Al centre de la casa hi ha una cuina.,
ทางเหนือมีคนจากทางใต้ และทางใต้ก็มีคนจากทางเหนือเช่นกัน,"Al nord hi ha gent del sud, i al sud també hi ha gent del nord.",
ใครบางคนบอก(ho)ฉันเมื่อนานมาแล้ว,Algú m'ho va dir fa temps.,
ด้วยรถเยอะขนาดนี้ สภาพการจราจรจึงแย่(t),"Amb tants de cotxes, hi ha un trànsit terrible.",
ปราสาทนี้มีหอคอยเยอะ,Aquest castell té moltes torres.,
ประตูนี้ทำให้พวกเขาชนะทัวร์นาเมนต์,Aquest gol els fa guanyar el torneig.,present
อพาร์ตเมนต์นี้อยู่ในภูเขา ท่ามกลางป่า,"Aquest pis és a la muntanya, enmig del bosc.",
ทรัพยากรนี้ราคาแพงมาก,Aquest recurs és molt car.,
สบู่นี้ต้องทาทีละน้อย ๆ ไปที่ใบหน้า,Aquest sabó s'ha d'aplicar a poc a poc a la cara.,
เสื้อตัว(v)นี้ใหญ่กว่าตัวนั้น,Aquest vestit és més gran que eixe.,
เสื้อแจ็กเก็ตตัวนี้เล็กเกินไป,Aquesta jaqueta és massa xicoteta.,
ฤดูกาลนี้เรามียอดขายไม่มาก,Aquesta temporada no tenim gaires vendes.,
นี่คือ Laia　Laia อายุเจ็ดปีและอาศัยอยู่ที่บาร์เซโลนา,Aquesta és la Laia. La Laia té set anys i viu a Barcelona.,
