中文,ㄅㄆㄇㄈ
久,ㄐㄧㄡˇ
乾,ㄍㄢ
事,ㄕˋ
些,ㄒㄧㄝ
交,ㄐㄧㄠ
亮,ㄌㄧㄤˋ
今,ㄐㄧㄣ
付,ㄈㄨˋ
代,ㄉㄞˋ
以,ㄧˇ
伯,ㄅㄛˊ
但,ㄉㄢˋ
住,ㄓㄨˋ
作,ㄗㄨㄛˋ
依,ㄧ
便,ㄆㄧㄢˊ<br>ㄅㄧㄢˋ
係,ㄒㄧˋ
們,ㄇㄣ˙
候,ㄏㄡˋ
假,ㄐㄧㄚˋ
做,ㄗㄨㄛˋ
停,ㄊㄧㄥˊ
傘,ㄙㄢˇ
傳,ㄔㄨㄢˊ
像,ㄒㄧㄤˋ
兄,ㄒㄩㄥ
先,ㄒㄧㄢ
內,ㄋㄟˋ
兩,ㄌㄧㄤˇ
公,ㄍㄨㄥ
共,ㄍㄨㄥˋ
冬,ㄉㄨㄥ
冷,ㄌㄥˇ
分,ㄈㄣ
別,ㄅㄧㄝˊ
利,ㄌㄧˋ
到,ㄉㄠˋ
前,ㄑㄧㄢˊ
剛,ㄍㄤ
功,ㄍㄨㄥ
加,ㄐㄧㄚ
動,ㄉㄨㄥˋ
包,ㄅㄠ
千,ㄑㄧㄢ
午,ㄨˇ
半,ㄅㄢˋ
南,ㄋㄢˊ
博,ㄅㄛˊ
厭,ㄧㄢˋ
去,ㄑㄩˋ
參,ㄘㄢ
又,ㄧㄡˋ
友,ㄧㄡˇ
口,ㄎㄡˇ
古,ㄍㄨˇ
只,ㄓˇ
可,ㄎㄜˇ
右,ㄧㄡˋ
司,ㄙ
同,ㄊㄨㄥˊ
名,ㄇㄧㄥˊ
君,ㄐㄩㄣ
吧,ㄅㄚ˙
呢,ㄋㄜ
和,ㄏㄢˋ<br>ㄏㄜˊ
哥,ㄍㄜ
哪,ㄋㄚˇ
唱,ㄔㄤˋ
商,ㄕㄤ
啊,ㄚ˙
問,ㄨㄣˋ
喂,ㄨㄟˊ<br>ㄨㄟˋ
喜,ㄒㄧˇ
器,ㄑㄧˋ
回,ㄏㄨㄟˊ
因,ㄧㄣ
國,ㄍㄨㄛˊ
圖,ㄊㄨˊ
在,ㄗㄞˋ
地,ㄉㄧˋ
坐,ㄗㄨㄛˋ
塊,ㄎㄨㄞˋ
夏,ㄒㄧㄚˋ
外,ㄨㄞˋ
夜,ㄧㄝˋ
套,ㄊㄠˋ
女,ㄋㄩˇ
如,ㄖㄨˊ
妹,ㄇㄟˋ
姊,ㄐㄧㄝˇ
始,ㄕˇ
姐,ㄐㄧㄝˇ
姓,ㄒㄧㄥˋ
媽,ㄇㄚ
子,ㄗ˙
字,ㄗˋ
學,ㄒㄩㄝˊ
安,ㄢ
宜,ㄧˊ
客,ㄎㄜˋ
室,ㄕˋ
宮,ㄍㄨㄥ
宿,ㄙㄨˋ
寫,ㄒㄧㄝˇ
對,ㄉㄨㄟˋ
就,ㄐㄧㄡˋ
山,ㄕㄢ
岡,ㄍㄤ
工,ㄍㄨㄥ
左,ㄗㄨㄛˇ
差,ㄔㄚ
己,ㄐㄧˇ
市,ㄕˋ
希,ㄒㄧ
師,ㄕ
帶,ㄉㄞˋ
幫,ㄅㄤ
幾,ㄐㄧˇ
底,ㄉㄧˇ
廚,ㄔㄨˊ
廳,ㄊㄧㄥ
建,ㄐㄧㄢˋ
弟,ㄉㄧˋ
張,ㄓㄤ
影,ㄧㄥˇ
往,ㄨㄤˇ
後,ㄏㄡˋ
得（動詞）,ㄉㄟˇ
從,ㄘㄨㄥˊ
微,ㄨㄟˊ
心,ㄒㄧㄣ
必,ㄅㄧˋ
忘,ㄨㄤˋ
忙,ㄇㄤˊ
快,ㄎㄨㄞˋ
念,ㄋㄧㄢˋ
怎,ㄗㄣˇ
怕,ㄆㄚˋ
思,ㄙ
怡,ㄧˊ
恭,ㄍㄨㄥ
您,ㄋㄧㄣˊ
意,ㄧˋ
慢,ㄇㄢˋ
慣,ㄍㄨㄢˋ
應,ㄧㄥ
成,ㄔㄥˊ
或,ㄏㄨㄛˋ
戶,ㄏㄨˋ
房,ㄈㄤˊ
所,ㄙㄨㄛˇ
手,ㄕㄡˇ
打,ㄉㄚˇ
找,ㄓㄠˇ
拍,ㄆㄞ
拜,ㄅㄞˋ
捷,ㄐㄧㄝˊ
接,ㄐㄧㄝ
換,ㄏㄨㄢˋ
支,ㄓ
收,ㄕㄡ
故,ㄍㄨˋ
教,ㄐㄧㄠ<br>ㄐㄧㄠˋ
方,ㄈㄤ
旁,ㄆㄤˊ
旅,ㄌㄩˇ
早,ㄗㄠˇ
星,ㄒㄧㄥ
春,ㄔㄨㄣ
時,ㄕˊ
晚,ㄨㄢˇ
景,ㄐㄧㄥˇ
更,ㄍㄥˋ
書,ㄕㄨ
替,ㄊㄧˋ
最,ㄗㄨㄟˋ
會,ㄏㄨㄟˋ
朋,ㄆㄥˊ
服,ㄈㄨˊ
望,ㄨㄤˋ
期,ㄑㄧˊ
末,ㄇㄛˋ
李,ㄌㄧˇ
束,ㄕㄨˋ
杯,ㄅㄟ
東,ㄉㄨㄥ
果,ㄍㄨㄛˇ
校,ㄒㄧㄠˋ
棒,ㄅㄤˋ
棟,ㄉㄨㄥˋ
業,ㄧㄝˋ
概,ㄍㄞˋ
樂,ㄩㄝˋ
樓,ㄌㄡˊ
樣,ㄧㄤˋ
機,ㄐㄧ
次,ㄘˋ
歌,ㄍㄜ
歡,ㄏㄨㄢ
母,ㄇㄨˇ
每,ㄇㄟˇ
比,ㄅㄧˇ
氣,ㄑㄧˋ
水,ㄕㄨㄟˇ
池,ㄔˊ
決,ㄐㄩㄝˊ
汽,ㄑㄧˋ
沒,ㄇㄟˊ
油,ㄧㄡˊ
法,ㄈㄚˇ
波,ㄅㄛ
泳,ㄩㄥˇ
浴,ㄩˋ
海,ㄏㄞˇ
淨,ㄐㄧㄥˋ
游,ㄧㄡˊ
湯,ㄊㄤ
滑,ㄏㄨㄚˊ
漂,ㄆㄧㄠˋ
濕,ㄕ
火,ㄏㄨㄛˇ
為,ㄨㄟˋ
烏,ㄨ
然,ㄖㄢˊ
煎,ㄐㄧㄢ
照,ㄓㄠˋ
熱,ㄖㄜˋ
爸,ㄅㄚˋ
片,ㄆㄧㄢˋ
牙,ㄧㄚˊ
牛,ㄋㄧㄡˊ
物,ㄨˋ
特,ㄊㄜˋ
獎,ㄐㄧㄤˇ
玉,ㄩˋ
玩,ㄨㄢˊ
班,ㄅㄢ
現,ㄒㄧㄢˋ
球,ㄑㄧㄡˊ
瓜,ㄍㄨㄚ
