泰文,中文,ㄅㄆㄇㄈ,หมายเหตุ
" เธอชอบฟังเพลงไหม",你喜歡聽音樂嗎？,,
กลับไปกินยาแล้ว ดื่มน้ำเยอะ ๆ พักผ่อนเยอะ ๆ นอนเช้า ๆ หน่อย อีกแปปก็จะหายดี,回去把藥吃了，多喝水，多休息，早一點睡覺，很快就會好。,,
การแข่งขันเสร็จกี่โมง(ㄉ),比賽幾點結束？,,
ของมัน ของเย็นอย่ากินจะดีที่สุด,油的，冰的東西最好都別吃。,,
ขอถามหน่อยนี่เป็นชาอะไร,請問這是什麼茶？,,
ขอบคุณเธอที่ชวนฉันมากินข้าวร้านอาหารที่มีชื่อเสียงขนาดนี้,謝謝你請我到這麼有名的餐廳吃飯。,,
ขอบคุณเธอนะที่เป็นห่วง,謝謝你的關心。,,
ขอโทษ,對不起。,,ㄉ
ขี่รถเครื่องไวกว่านั่งรถเมล์ไปไหม / ไม่ต่างกันมาก,騎機車比坐公車快嗎？/差不多。,,
ข่าวทีวีบอกว่า ไต้ฝุ่นครั้งนี้อาจจะแรงกว่าครั้งที่แล้วขึ้นไปอีก,電視新聞說，這次的颱風會比上次的更大。,,
คนในครอบครัวฉันทุกคนชอบถ่ายรูปมาก,我家人都很喜歡照相。,,
ครอบครัวเธอมีกี่คน,你家有幾個人？,,
คุณมีไข้นิดหน่อย เป็นหวัด แต่ไม่มีอะไรต้องเป็นห่วงมาก,你有一點發燒，是感冒，不過沒有什麼關係。,,
คุณได้รับค่าเช่าบ้านของฉันแล้วหรือยัง,你收到我的房租了嗎？,,
ค่าเทอมของฉันเป็นบริษัทจ่ายให้ฉันน่ะ,我的學費是公司替我付的。,,
งั้นฉันจะไปถึงวันพรุ่งนี้บ่ายสองโมง,那我明天下午兩點到。,,
งานแบบนี้ที่ประเทศพวกเธอหาง่ายไหม,這樣的工作在你們國家好找嗎？,,
ฉันกำลังกินข้าวเที่ยง แล้วเดี๋ยวอีกแปปจะเข้าเรียน,我在吃午餐，等一下要上課。,,
ฉันกินยาไปซองนึงแล้ว ก็นอนหลับได้ดีกว่าเมื่อวาน,我吃了一包藥以後，睡得比昨天好。,,
ฉันกินอะไรก็ได้,我什麼都吃。,,
ฉันก็ไม่ชอบเผ็ด ฉันก็เลยชอบทำอาหารเอง,我也怕辣，所以我喜歡自己做飯。,,
ฉันคิดถึงบ้านนิดหน่อย,我有一點想家。,,
ฉันจะกลับไปคิดดู แล้วเดี๋ยวจะโทรหาคุณ,我回去想想，再打電話給你。,,
ฉันจะไปเยี่ยมชมพิพิธภัณฑ์ราชวังโบราณกับเพื่อนร่วมชั้นเรียน,我要跟同學去參觀故宮博物院。,,
ฉันชอบกินของหวานที่สุด　เธอสอนฉัน(ทำ)หน่อยได้ไหม,我最喜歡吃甜點。你可以教我嗎？,,
ฉันชอบเล่นเบสบอลและว่ายน้ำ แล้วเธอล่ะ,我喜歡打棒球和游泳，你呢？,,
ฉันช่วงนี้ยุ่งมาก ทุกวันตอนเย็นไปเข้าเรียนเขียนพู่กัน,我最近很忙，每天晚上都是上書法課。,,
ฉันตัดสินใจว่าจะพาเขา(ญ)ไปเมืองเมาค่ง,我決定帶她去貓空。,,
ฉันต้องลองถามคุณครูดู,我得問問老師。,,
ฉันทั้งต้องไปทำงาน ทั้งต้องเรียน(๒) เหนื่อยมากจริง ๆ,我又要上班，又要念書，真的很累。,,- ต้อง !ㄉ
ฉันน้ำมูกไหลไม่หยุด ปวดหัว ไม่อยากอาหาร　ไม่อยากกินอะไร(ㄉㄒ)เลย,我一直流鼻水，頭很痛，胃口很差。什麼東西都不想吃。,,
ฉันรู้ร้านก๋วยเตี๋ยวเนื้อชื่อดังอยู่ร้านหนึ่ง พวกเราไปกินด้วยกัน คิดว่าไง,我知道一家有名的牛肉麵店，我們一起去吃，怎麼樣？,,
ฉันรู้สึกว่าเตะฟุตบอลมันสนุกมาก,我覺得踢足球很好玩。,,
ฉันลืมไปได้อย่างไร　ช่วงนี้ยุ่งเกิน ขอบคุณเธอที่ยังจำได้,我怎麼忘了。最近太忙了，謝謝你還記得。,,
ฉันวางแผนว่าปลายเดือนธันวาคมจะกลับไป,我打算十二月底回去。,,
ฉันวางแผนไว้ว่าจะอยู่บ้านเรียนภาษาจีนด้วยการดูทีวี ดูหนัง(!ㄉ),我打算在家看電視，影片學中文。,,
ฉันว่าจะนั่งรถไฟใต้ดินไป　มันเร็วกว่า,我想坐捷運去。比較快。,,
ฉันอยากซื้อโทรศัพท์เครื่องใหม่สักเครื่องหนึ่ง,我想買一支新手機。,,
ฉันอยากนั่งรถไฟไป,我想坐火車去。,,
ฉันอยากฟังเธอ(๒ญ)ร้องเพลง,我想聽妳唱歌。,,
ฉันอยากไป แต่ฉันต้องไปธนาคาร　ไว้ครั้งหน้านะ,我想去，可是我得去銀行。下次吧！,,
ฉันอยากไปดูใบไม้แดงช่วงฤดูใบไม้ร่วงปีหน้า,我想明年秋天去看紅葉。,,
ฉันเพิ่งเลิกเรียน,我剛下課。,,
ฉันเมื่อก่อนไม่ชอบกินผลไม้ เดี๋ยวนี้ชอบมากแล้ว,我以前不喜歡吃水果，現在很喜歡了。,,
ฉันเมื่อพฤษภาคมปีที่แล้วอยู่ที่นิวยอร์กเที่ยวสองสัปดาห์,我去年五月在紐約玩了兩個禮拜。,,
ฉันเรียน(!ㄒ)หนึ่งปีที่ศูนย์ภาษาก่อน แล้วค่อยเรียนมหาวิทยาลัยสี่ปี ดังนั้นต้องการห้าปี,我先在語言中心念一年，再念四年大學，所以需要五年。,,
ฉันเล่นบาสเกตบอลบ่อย เตะฟุตบอลก็บ่อย,我常打籃球，也常踢足球。,,
ฉันและเพื่อนเจอกันตอนเก้าโมงยี่สิบนาทีที่ต้าอัน KTV,我和朋友九點二十分在大安KTV見面。,,
ฉันได้ทำงานอยู่ที่ไต้หวันมาหนึ่งปีแล้ว,我已經在臺灣工作一年了。,,
ฉันได้รับเรียบร้อยแล้ว,我已經收到了。,,
ฉันได้สั่งบะหมี่ขาหมูแล้วก็ไข่ไว้แล้ว,我已經訂了豬腳麵線和蛋。,,
ฉันไปส่งเธอไปหาหมด ดีไหม,我陪你去看病，好不好？,,
ฉันไปเจอเพื่อนชั้นล่าง พวกเราจะไปเข้าเรียนด้วยกัน,我去樓下找朋友，我們要一起去上課。,,
ฉันไม่ชอบเล่นเทนนิส,我不喜歡打網球。,,
ฉันไม่มีประกันสุขภาพที่ไต้หวัน,我在臺灣沒有健康保險。,,
ฉันไม่รู้ว่าซื้อตั๋วที่ไหน,我不知道在哪裡買票。,,
ฉันไม่สู้ความหนาว　ฉันชอบฤดูใบไม้ผลิมากกว่า,我怕冷。我比較喜歡春天。,,
ฉันไม่ได้ไปฮวาเหลียน ฉันเพิ่งกลับมาจากไถตง,我沒去花蓮，我剛從臺東回來。,,
ชาของไต้หวันมันวิเศษมาก,臺灣的茶很特別。,,
ช่างสะดวกอะไรอย่างนี้　งั้นฉันนั่งรถไฟไปละกัน,這麼方便。那我坐火車去。,,
ซาลาเปาขอเวฟให้ฉันด้วย,包子請幫我微波。,,
ดีใจจริง ๆ ที่ปีนี้มีเพื่อนไต้หวันฉลองวันเกิดฉัน,真開心，今年有臺灣朋友給我過生日。,,
ด้านนอกลมแรงขนาดนั้น ฉันว่าวันนี้หนาวกว่าเมื่อวาน,外面風那麼大，我覺得今天比昨天冷。,,
ด้านหลังห้องสมุดมีสระว่ายน้ำ,圖書館後面有游泳池。,,
ด้านในโรงเรียนไม่มีร้านค้า,學校裡面沒有商店。,,
ตรงนี้เป็นห้องนั่งเล่น ห้องครัวอยู่ซ้ายมือ ขวามือเป็นห้องอาบน้ำ,這裡是客廳，廚房在左邊，右邊有浴室。,,
