ไทย,Tagalog,หมายเหตุ
ฉันเป็นผู้ชาย,Ako ay lalaki.,S~
ฉันคือจอห์น,Ako ay si John.,S~
มะนิลาเป็นเมืองหนึ่งของฟิลิปปินส์,Ang Maynila ay isang lunsod ng Pilipinas.,S~
หมาและแมวเป็นสัตว์,Ang aso at pusa ay mga hayop.,S~
บ้านของมารีหลังใหญ่,Ang bahay ni Mary ay malaki.,S~
ชุดพื้นเมืองของเด็กนั้นใหม่,Ang baro ng bata ay bago.,S~
เด็กนิสัยดี,Ang bata ay mabait.,S~
โต๊ะตัวนี้สะอาด,Ang mesang ito ay malinis.,S~
สิ่งเหล่านั้นใหญ่,Ang mga iyan ay malalaki.,S~
รองเท้าสะอาด,Ang mga sapatos ay malilinis.,S~ พหูพจน์
เธอเป็นผู้หญิง,Ikaw ay babae.,S~
โต๊ะตัวนี้มันสะอาด,Itong mesang ito ay malinis.,S~
สิ่งนั้นคืออาหารของมารี,Iyan ay pagkain ng Mary.,S~
พวกเราเป็นพี่น้อง,Kami ay magkapatid.,- S~<br>- ไม่รวมผู้ฟัง
พวกเราคือจอห์นกับเฮเลน,Kami ay sina John at Helen.,- S~<br>- ไม่รวมผู้ฟัง
พวกเธอคือจอห์นกับเฮเลน,Kayo ay sina John at Helen.,S~
แม่ละพ่อของเธอสบายดีไหม,Kumusta ang iyong ina at ama?,
สบายดีไหม,Kumusta ka?,
คุณสบายดีไหมครับ,Kumusta po kayo?,
สวัสดีตอนเย็น,Magandang gabi.,
สวัสดีตอนบ่ายเช่นกันครับ,Magandang hapon po naman.,
สวัสดีตอนบ่าย,Magandang hapon.,
สวัสดีตอนเช้าครับ,Magandang umaga po.,
พวกเราจน,Mahihirap kami.,- ~S<br>- ไม่รวมผู้ฟัง
บ้านหลังใหญ่,Malaki ang bahay.,~S
บ้านหลังโน้นมันใหญ่,Malaki iyong bahay na iyon.,~S
สิ่งนี้เล็ก,Maliit ito.,~S
สิ่งโน้นมันสะอาดและยาว,Malinis at mahaba iyon.,~S
ฉันสุขภาพดี,Malusog ako.,~S
เธอสุขภาพดี,Malusog ka.,~S
พวกเขาฉลาด,Marurunong sila.,~S
ปีเตอร์กับมารีเป็นเด็ก,Mga bata sina Peter at Mary.,~S
มะนิลาและเซบูเป็นเมือง,Mga lunsod ang Maynila at Cebu.,~S
ปีเตอร์เป็นผู้ชาย,Si Peter ay lalaki.,S~
รูธเป็นผู้หญิง,Si Ruth ay babae.,S~
เฮเลนและทอมนิสัยดี,Sina Helen at Tom ay mababait.,S~
เฮเลนและทอมเป็นเด็ก,Sina Helen at Tom ay mga bata.,S~
เขาคือปีเตอร์,Siya ay si Peter.,S~
พวกเรา(ฉันและเธอ)เป็นเพื่อนกัน,Tayo ay magkaibigan.,- S~<br>- รวมผู้ฟัง
