Tagalog,ไทย,Add Reverse
aklat,หนังสือ,y
ako,ฉัน,y
ama,พ่อ,y
anak,ลูก,y
araw,วัน,y
asawa,สามี ภรรยา,y
aso,สุนัข,y
babae,ผู้หญิง,y
bago,ใหม่,y
bahay,บ้าน,y
bansa,ประเทศ,y
baro,ชุดพื้นเมือง,y
bata,เด็ก,y
bulaklak,ดอกไม้,y
gabi,ตอนเย็น กลางคืน,y
hangin,ลม,y
hapon,ตอนบ่าย,y
hayop,สัตว์,y
ikaw,เธอ (S~),y
ina,แม่,y
inyo,ของคุณ,y
isda,ปลา,y
ito,นี้,y
iyan,นั้น,y
iyo,ของเธอ,y
iyon,นู้น โน้น,y
ka,เธอ (~S),y
kaibigan,เพื่อน,y
kami,พวกเรา (ไม่รวมผู้ฟัง),y
kapatid,พี่น้อง,y
kape,กาแฟ,y
kayo,พวกเธอ คุณ,y
kotse,รถ,y
lalaki,ผู้ชาย,y
lapis,ดินสอ,y
luma,เก่า,y
lunsod,เมือง,y
mababa,ต่ำ,y
mabait,นิสัยดี ใจดี,y
mabuti,ดี,y
maganda,สวยงาม,y
mahaba,ยาว,y
mahal,แพง มีค่า,y
mahirap,แย่ ยาก,y
mainit,ร้อน,y
malakas,แข็งแรง,y
malaki,ใหญ่,y
malamig,เย็น,y
maliit,เล็ก,y
malinis,สะอาด,y
malusog,สุขภาพดี,y
marunong,เก่ง,y
masama,เลว,y
masarap,อร่อย,y
mataas,สูง,y
matalino,ฉลาด,y
matanda,แก่,y
mayaman,รวย,y
mesa,โต๊ะ,y
mura,ราคาถูก,y
naman,เช่นกัน (!r),y
paaralan,โรงเรียน,y
pagkain,อาหาร,y
papel,กระดาษ,y
puno,ต้นไม้,y
pusa,แมว,y
rin,ก็ เช่นกัน (!n),y
saan,ที่ไหน,y
sapatos,รองเท้า,y
sila,พวกเขา / เขา (สุภาพ),y
silya,เก้าอี้,y
simbahan,โบสถ์,y
siya,เขา,y
tamad,ขี้เกียจ,y
tanghali,ตอนกลางวัน,y
tao,คน,y
tayo,พวกเรา (รวมผู้ฟัง),y
tubig,น้ำ,y
umaga,ตอนเช้า,y
