verb,jo,tu,ell/ella/vosté,nosaltres,vosaltres,ells/elles/vostés
(imperfet) haver,havia,havies,havia,havíem,havíeu,havien
(present d'indicatiu) anar,vaig,vas,va,anem,aneu,van
(present d'indicatiu) anar-s'en,me'n vaig,te'n vas,se'n va,ens n'anem,us n'aneu,se'n van
(present d'indicatiu) aprendre,aprenc,aprens,aprén,aprenem,apreneu,aprenen
(present d'indicatiu) batre,bat,bats,bat,batem,bateu,baten
(present d'indicatiu) beure,bec,beus,beu,bevem,beveu,beuen
(present d'indicatiu) caldre,,,cal,,,calen
(present d'indicatiu) cercar,cerque,cerques,cerca,cerquem,cerqueu,cerquen
(present d'indicatiu) créixer,cresc,creixes,creix,creixem,creixeu,creixen
(present d'indicatiu) córrer,córrec,corres,corre,correm,correu,corren
(present d'indicatiu) dir-se,em dic,et dius,es diu,ens diem,us dieu,es diuen
(present d'indicatiu) dur,duc,dus,du,duem,dueu,duen
(present d'indicatiu) eixir,isc,ixes,ix,eixim,eixiu,ixen
(present d'indicatiu) escriure,escric,escrius,escriu,escrivim,escriviu,escriuen
(present d'indicatiu) estar,estic,estàs,està,estem,esteu,estan
(present d'indicatiu) fer,faig,fas,fa,fem,feu,fan
(present d'indicatiu) incloure,incloc,inclous,inclou,incloem,incloeu,inclouen
(present d'indicatiu) llegir,llig,lliges,llig,llegim,llegiu,lligen
(present d'indicatiu) menjar,menge,menges,menja,mengem,mengeu,mengen
(present d'indicatiu) morir,morc,mors,mor,morim,moriu,moren
(present d'indicatiu) moure,mòc,mous,mou,movem,moveu,mouen
(present d'indicatiu) necessitar,necessite,necessites,necessita,necessitem,necessiteu,necessiten
(present d'indicatiu) nàixer,nasc,naixes,naix,naixem,naixeu,naixen
(present d'indicatiu) parlar,parle,parles,parla,parlem,parleu,parlen
(present d'indicatiu) perdre,perd,perds,perd,perdem,perdeu,perden
(present d'indicatiu) preferir,preferisc,prefereixes,prefereix,preferim,preferiu,prefereixen
(present d'indicatiu) prendre,prenc,prens,pren,prenem,preneu,prenen
(present d'indicatiu) rebre,rep,reps,rep,rebem,rebeu,reben
(present d'indicatiu) saber,sé,saps,sap,sabem,sabeu,saben
(present d'indicatiu) sentir,sent,sents,sent,sentim,sentiu,senten
(present d'indicatiu) ser,sóc,eres,és,som,sou,són
(present d'indicatiu) soler,solc,sols,sol,solem,soleu,solen
(present d'indicatiu) tindre,tinc,tens,té,tenim,teniu,tenen
(present d'indicatiu) témer,tem,tems,tem,temem,temeu,temen
(present d'indicatiu) venir,vinc,véns,ve,venim,veniu,vénen
(present d'indicatiu) veure,veig,veus,veu,veiem,veieu,veuen
(present d'indicatiu) viure,visc,vius,viu,vivim,viviu,viuen
(present d'indicatiu) voler,vull,vols,vol,volem,voleu,volen
(present) doldre,dolc,dols,dol,dolem,doleu,dolen
(present) haver,he,has,ha,hem,heu,han
(present) pertànyer,pertanc,pertanys,pertany,pertanyem,pertanyeu,pertanyen
ovrir,òbric,obris,obri,obrim,obriu,obrin
riure,ric,rius,riu,riem,rieu,riuen
