tailandés,valencià,หมายเหตุ
ด้วยรถเยอะขนาดนี้ สภาพการจราจรจึงแย่,"Amb tants de cotxes, hi ha un trànsit terrible.",
ด้านใน(i)ของตู้เย็นมีแมวอยู่,A l'interior de la nevera hi ha el gat.,
ที่ห้องสมุดพวกเราได้เจอที่ที่ดีที่สุด(พหู)ในการอ่านหนังสือ,A la biblioteca hi trobem els millors llocs per a la lectura.,
ที่โรงเรียนของฉันมีอาจารย์(m)ท่านหนึ่งที่รู้วิธีอธิบายประวัติศาสตร์ของกาตาลุญญาได้ดี,A la meua escola hi ha un mestre que sap explicar bé la història de Catalunya.,
ในฤดูใบไม้ร่วง ใบไม้ตกลงมาจากต้นไม้,A la tardor cauen les fulles dels arbres.,
ตอนสามทุ่มห้าสิบฉันดูทีวี,A les deu menys deu de la nit veig la tele.,(21:50)
ตอนเที่ยงครึ่ง(12:30)ฉันเรียนเสร็จแล้วก็กลับบ้าน,A les dotze i mitja acabe la classe i torne a ma casa.,
(ฉัน)ฉันชอบส้ม(พหู),"A mi, m'agraden les taronges.",ซ้ำฉัน
เธอทานอาหารเช้าตอนกี่โมง,A quina hora et desdejunes?,
รถไฟออกกี่โมง,A quina hora ix el tren?,
เธอจะไปจากที่นี่กี่โมง,A quina hora te'n vas d'aci?,
เธอไปโรงเรียนตอนกี่โมง,A quina hora vas al col·legi?,tu
คุณทำอาชีพอะไร (เป็นอาชีพอะไร),A què et dediques?,อุทิศ
เธอ เธอชอบฟุตบอลไหม,"A tu, t'agrada el futbol?",
พวกคุณชอบทำอะไรในวันเสาร์อาทิตย์,A vostés què els agrada fer a cap de setmana?,vostés
<u>งด</u>ขึ้นรถไฟหรือลงจากรถไฟหลังจากเสียงสัญญาณปิดประตู,Abstindre's de pujar al tren o baixar del tren després de sonar el senyal acústic de tancament de les portes.,- เสียงสัญญาณ - el senyal acústic
เขามักจะตื่นแต่เช้ามืด,Acostuma a alçar-se a la matinada.,- มัก a<br>- ตื่น a
เขามักจะกินข้าวเย็นตอนสามทุ่ม,Acostuma a sopar a les nou.,- มัก: a
เมื่อวานวันอาทิตย์,Ahir va ser diumenge.,
สิ่งนั้นทำให้เรากลัวได้ในบางที,Això ens fa por de tant en tant.,
ช่วยฉันยกของทั้งหมดนี่ไปไว้ชั้นบนให้หน่อย,Ajuda'm a pujar tot això cap a dalt.,
ตรงกลางของบ้านมีห้องครัว,Al centre de la casa hi ha una cuina.,
ทางเหนือมีคนจากทางใต้ และทางใต้ก็มีคนจากทางเหนือเช่นกัน,"Al nord hi ha gent del sud, i al sud també hi ha gent del nord.",
อพาร์ตเมนต์นี้อยู่ในภูเขา ท่ามกลางป่า,"Aquest pis és a la muntanya, enmig del bosc.",
เสื้อตัวนี้ใหญ่กว่าตัวนั้น,Aquest vestit és més gran que eixe.,
เสื้อแจ็กเก็ตตัวนี้เล็กเกินไป,Aquesta jaqueta és massa xicoteta.,
นี่คือ Laia　Laia อายุเจ็ดปีและอาศัยอยู่ที่บาร์เซโลนา,Aquesta és la Laia. La Laia té set anys i viu a Barcelona.,
ตอนนี้ 16:30,Ara són les quatre i mitja de la vesprada.,
ระวังช่องว่างระหว่างรถไฟและชานชาลา,Atenció al buit entre el tren i l'andana!,
วันนี้ฉันไม่มีอารมณ์ต้อนรับใครทั้งนั้น,Avui no estic d'humor per rebre a ningú.,
วันนี้ฉันไม่ได้นอนเลย,Avui no he dormit gens.,
วันนี้วันที่ 5 มีนาคม,Avui és el cinc de març.,
เธอดื่มไวน์ แม้ว่าเธอจะไม่ดื่มเบียร์,"Beus vi, tot i que no beus cervesa.",
สวัสดีตอนบ่าย,Bona vesprada / Bona vesprà,
(สิ่งนี้)เรียกเป็นภาษาบาเลนเซียว่าอย่างไร,Com es diu en valencià?,
"คุณชื่ออะไร ",Com es diu?,vosté
จะไปถึงที่นั่นได้อย่างไร,Com es pot arrivar allà?,
คุณชื่ออะไร,Com et dius?,tu
การเติบโตเป็นเรื่องสนุกมาก แม้ว่าต้องทำงานมาก,"Créixer és molt divertit, tot i que cal treballar molt.",
รักษาเนื้อรักษาตัว ดูแลตัวเองดี ๆ,Cuida't.,y
คุณมาจากที่ไหน,D'on eres?,tu
ด้านหน้าตลาดมีสวน,Davant del mercat hi ha un jardí.,
ช่วงเดือนพฤษภาคมถึงมิถุนายน กระแสน้ำของแม่น้ำนั้นเชี่ยวมากในภูเขา,"De maig a juny, el corrent del riu és molt fort a la muntanya.",
ตอนกลางคืนเขามักออก(ไปข้างนอก)กับเพื่อน,De nit sol eixir amb amics.,- มัก s
พรุ่งนี้วันพฤหัสบดี,Demà és dijous.,
จากหน้าต่างของฉันฉันมองเห็นนกสีแดง,Des de la meua finestra veig un ocell vermell.,
ได้โปรดบอก(มันให้แก่)ฉัน,"Digue'm-ho, si us plau.",- !per favor
