valencià,tailandés,Add Reverse
abans,ก่อน,y
abstindre,งด,y
acampar,เข้าแคมป์,y
açò,สิ่งนี้,y
adj. fin,บาง,y
adonar-se,นึกขึ้นได้ ระลึกได้ รู้ตัว,y
a finals de ~,ช่วงปลายเดือน,y
Àfrica,ทวีปแอฟริกา,y
agafar,หยิบ จับ ขึ้นยานพาหนะ,y
agranar,กวาด,y
ahir,เมื่อวาน,y
això,สิ่งนี้ สิ่งนั้น,y
ajudar,(v.) ช่วยเหลือ,y
alçar-se,ตื่น (ลุก) (a),y
al costat,ด้านข้าง,y
alegre,เบิกบาน ยินดี (a),y
alemanya,เกี่ยวกับเยอรมัน (ญ),y
Alemanya,ประเทศเยอรมนี,y
aleshores,ดังนั้น ตอนนั้น (es: entonces),y
alt,สูง,y
amarg,ขม,y
Amèrica del Nord,ทวีปอเมริกาเหนือ,y
Amèrica del Sud,ทวีปอเมริกาใต้,y
a mitjan ~,ช่วงกลางเดือน,y
ample,หลวม กว้าง,y
anar,ไป,y
anar a comprar,ซื้อของ,y
anar-s'en,จาก ออกจาก ไป (es: irse),y
Angèria,ประเทศอัลจีเรีย,y
Anglaterra,ประเทศอังกฤษ,y
anglesa,เกี่ยวกับอังกฤษ (ญ),y
aprendre,เรียน (es: aprender),y
a principis de ~,ช่วงต้นเดือน ~,y
a prop,ใกล้,y
ara mateix,ณ ตอนนี้ บัดเดี๋ยวนี้,y
arrissat,(ผม) หยักศก,y
arrivar,ไปถึง,y
Àsia,ทวีปเอเชีย,y
assecar,ทำให้แห้ง,y
assolellat,ที่โดนแดด,y
aturar,จับกุม หยุด,y
a vegades,บางครั้ง,y
aviat,เร็ว (เช้า),y
avorrit,เบื่อ,y
baix,เตี้ย ต่ำ,y
baixar,ลง,y
ballar,เต้นรำ,y
banyat,เปียก (b),y
barat,(ราคา) ถูก,y
batre,ตี,y
berenar,ทานอาหารบ่าย-เย็น (es: merendar),y
beure,ดื่ม (b),y
beure al gallet,ยกดื่มโดยไม่โดนปาก,y
blanc,สีขาว,y
blau,สีน้ำเงิน,y
boig,บ้า,y
Bolívia,ประเทศโบลิเวีย,y
bonic,สวย น่ารัก (es: bonito),y
brut,สกปรก,y
bufar,เป่าลม พ่นลมหายใจ หอบ,y
cadascú,แต่ละหนึ่ง,y
caldre,จำเป็น ขาด ต้อง,y
callat,เงียบ ไม่พูด,y
Canadà,ประเทศแคนาดา,y
cap (+ sustantiu),ไม่สักนิด แม้แต่น้อย (นามนับได้),y
cap a,มุ่งหน้า ไปยัง ไปทาง,y
castany,(ผม) สีน้ำตาล,y
castellana,เกี่ยวกับภาษาสเปน (ญ),y
catalana,เกี่ยวกับกาตาลัน (ญ),y
caure,หล่น ตก ร่วง,y
cavalcar,ขี่ (c),y
cercar,ค้นหา,y
checa,เกี่ยวกับเช็ก (ญ),y
Chile,ประเทศชิลี,y
clar,แน่นอน แน่ชัด,y
Colòmbia,ประเทศโคลัมเบีย,y
comptar,เล่า,y
córrer,วิ่ง,y
créixer,เติบโต,y
cridar,ตะโกน เรียก เรียกร้อง,y
cuinar,ทำอาหาร,y
curt,สั้น,y
damunt,เหนือ ด้านบน (d),y
darrere,ด้านหลัง,y
davall,ด้านล่าง ด้านใต้ (d),y
davant,ข้างหน้า,y
deficiós,ยม ไม่อยากทำอะไร,y
demà,พรุ่งนี้,y
descovrir,ค้นพบ หาเจอ (!t),y
desdejunar-se,รับประทานอาหารเช้า,y
de sopte,จู่ ๆ ก็ (es: de repente),y
despertar-se,ตื่น (รู้สึกตัว),y
destre,ถนัดขวา,y
de tant en tant,นาน ๆ ที (es: de vez en cuando),y
deu ser que,จะเป็นเพราะว่า (es: será que),y
dibuixar,วาดรูป,y
dinar,ทานอาหาร(กลางวัน) (es: comer),y
dins,ด้านใน,y
dir-se,เรียกว่า…,y
divertit,สนุก ตลก,y
dolç,หวาน,y
doldre,เจ็บ ทำให้เจ็บ,y
dolent,แย่ เลว ไม่ดี,y
doncs,ก็ แล้ว (es: pues),y
Egipte,ประเทศอียิปต์,y
egoist,เห็นแก่ตัว,y
eixe,สิ่งนั้น (eso/ese),y
eixir,ออก จาก,y
el ball,การเต้นรำ,y
el banc,ธนาคาร,y
el banquer,พนักงานธนาคารผู้ชาย,y
el bany,ห้องน้ำ (อาบน้ำ),y
el barret,หมวก,y
el barri,ละแวก (es: barrio),y
el bebé,เด็กทารก,y
