中文,ㄅㄆㄇㄈ
亮,ㄌㄧㄤˋ
以,ㄧˇ
伯,ㄅㄛˊ
們,ㄇㄣ˙
兄,ㄒㄩㄥ
兩,ㄌㄧㄤˇ
動,ㄉㄨㄥˋ
南,ㄋㄢˊ
同,ㄊㄨㄥˊ
名,ㄇㄧㄥˊ
君,ㄐㄩㄣ
呢,ㄋㄜ
和,ㄏㄢˋ<br>ㄏㄜˊ
哥,ㄍㄜ
哪,ㄋㄚˇ
坐,ㄗㄨㄛˋ
如,ㄖㄨˊ
妹,ㄇㄟˋ
姐,ㄐㄧㄝˇ
姓,ㄒㄧㄥˋ
媽,ㄇㄚ
子,ㄗ˙
安,ㄢ
客,ㄎㄜˋ
師,ㄕ
幾,ㄐㄧˇ
弟,ㄉㄧˋ
張,ㄓㄤ
影,ㄧㄥˇ
怡,ㄧˊ
您,ㄋㄧㄣˊ
房,ㄈㄤˊ
打,ㄉㄚˇ
接,ㄐㄧㄝ
早,ㄗㄠˇ
晚,ㄨㄢˇ
書,ㄕㄨ
末,ㄇㄛˋ
李,ㄌㄧˇ
棒,ㄅㄤˋ
樂,ㄩㄝˋ
歡,ㄏㄨㄢ
母,ㄇㄨˇ
氣,ㄑㄧˋ
沒,ㄇㄟˊ
泳,ㄩㄥˇ
游,ㄧㄡˊ
漂,ㄆㄧㄠˋ
烏,ㄨ
照,ㄓㄠˋ
爸,ㄅㄚˋ
片,ㄆㄧㄢˋ
玉,ㄩˋ
玩,ㄨㄢˊ
球,ㄑㄧㄡˊ
白,ㄅㄞˊ
相,ㄒㄧㄤˋ
看,ㄎㄢˋ
網,ㄨㄤˇ
美,ㄇㄟˇ
老,ㄌㄠˇ
聽,ㄊㄧㄥ
菜,ㄘㄞˋ
華,ㄏㄨㄚˊ
藍,ㄌㄢˊ
覺,ㄐㄩㄝˊ
誠,ㄔㄥˊ
誰,ㄕㄟˊ
請,ㄑㄧㄥˇ
起,ㄑㄧˇ
越,ㄩㄝˋ
足,ㄗㄨˊ
踢,ㄊㄧ
迎,ㄧㄥˊ
週,ㄓㄡ
進,ㄐㄧㄣˋ
運,ㄩㄣˋ
還,ㄏㄞˊ
開,ㄎㄞ
阿,ㄚ
陳,ㄔㄣˊ
音,ㄧㄣ
馬,ㄇㄚˇ
龍,ㄌㄨㄥˊ
