泰文,中文,ㄅㄆㄇㄈ,หมายเหตุ
" เธอชอบฟังเพลงไหม",你喜歡聽音樂嗎？,,
ขอถามหน่อยนี่เป็นชาอะไร,請問這是什麼茶？,,
ขอโทษ,對不起。,,ㄉ
คนในครอบครัวฉันทุกคนชอบถ่ายรูปมาก,我家人都很喜歡照相。,,
ครอบครัวเธอมีกี่คน,你家有幾個人？,,
ฉันชอบเล่นเบสบอลและว่ายน้ำ แล้วเธอล่ะ,我喜歡打棒球和游泳，你呢？,,
ฉันรู้สึกว่าเตะฟุตบอลมันสนุกมาก,我覺得踢足球很好玩。,,
ฉันอยากซื้อโทรศัพท์เครื่องใหม่สักเครื่องหนึ่ง,我想買一支新手機。,,
ฉันเล่นบาสเกตบอลบ่อย เตะฟุตบอลก็บ่อย,我常打籃球，也常踢足球。,,
ฉันไม่ชอบเล่นเทนนิส,我不喜歡打網球。,,
ซาลาเปาขอเวฟให้ฉันด้วย,包子請幫我微波。,,
ตอนเย็นอยากกินข้าวเย็นด้วยกันไหม,晚上要不要一起吃晚飯？,,~不~
ถามหน่อยว่าจะเอากลับบ้านหรือทานที่นี่,請問外帶還是內用？,,
ทั้งหมดเป็นเท่าไหร่,一共多少錢？,,
นางสาว李เป็นคนอเมริกาหรือไม่,李小姐是美國人嗎？,,嗎
บ้านทั้งสองหลังนี้ล้วนเป็นของเขา,這兩個房子都是他的。,,
บ้านเธอมีรูปถ่ายเยอะมาก,你家有很多照片。,,
พวกเราทุกคนแซ่陳,我們都姓陳。,,
พวกเราไปกินอาหารเวียดนาม,我們去吃越南菜。,,
รูปถ่ายรูปนี้ดูดี,這張照片很好看。,,
รูปไหนสวย,哪一張照片漂亮？,,
วันนี้ตอนเย็นพวกเราไปดูหนังดีไหม,今天晚上我們去看電影，好不好？,,
หนึ่งเครื่องราคาหนึ่งหมื่นห้าพัน,一支要一萬五千多。,,
เธอจะเอาแก้วใหญ่ แก้วกลาง หรือว่าแก้วเล็ก,你要大杯，中杯還是小杯？,,
เธอมารับพวกเราหรอ,你來接我們嗎？,,嗎
เธอมีพี่น้องไหม,你有沒有兄弟姊妹？,,~沒~
เธออยาก(ㄒ)ดูหนังอเมริกาหรือว่าหนังไต้หวัน,你想看美國電影還是臺灣電影？,,
เธออยากซื้อโทรศัพท์แบบไหน,你想買哪種手機？,,
เธออยากดื่มกาแฟไหม,你要不要喝咖啡？,,~不~
โทรศัพท์เครื่องนี้ของฉันมันเก่าเกินไป ดูไม่ดี,我這支手機太舊了，不好看。,,
ไม่เป็นไร,不客氣。,,
